song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Solid,Young Thug & Gunna Featuring Drake,57,52,12,4,1,6rTInqW3YECMkQsBEHw4sd,0.887,0.485,11.0,-9.358,0.0,0.2,0.0392,0.0,0.141,0.328,125.987,215693.0,4.0
Some Girls,Jameson Rodgers,85,0,29,17,1,54eUv9Q3D9MZuOGS5PSflp,0.429,0.831,8.0,-5.108,1.0,0.0473,0.0781,0.0,0.312,0.348,167.984,184893.0,4.0
Somebody,Justin Bieber,91,0,91,1,1,4wCmqSrbyCgxEXROQE6vtV,0.864,0.495,0.0,-7.036,1.0,0.037,0.591,0.000133,0.0992,0.72,129.062,244973.0,4.0
Somebody Like That,Tenille Arts,67,71,67,9,1,3hboOw4dS0aXGuP0fyyvbC,0.574,0.798,6.0,-5.356,1.0,0.0485,0.0152,0.0,0.111,0.58,105.034,198209.0,4.0
Somebody's Problem,Morgan Wallen,52,48,25,9,1,0SErdEdRcVX1uJCf1eTGYH,0.657,0.54,5.0,-7.675,1.0,0.0287,0.662,0.0,0.123,0.625,136.97,161773.0,4.0
Sorry Not Sorry,"DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy",30,0,30,1,1,0yvPEnB032fojLfVluFjUv,0.706,0.643,11.0,-6.929,0.0,0.234,0.0242,0.0,0.262,0.885,143.931,203760.0,4.0
SoulFly,Rod Wave,55,0,55,1,1,31IfCad1R5g6xqsfdrKwnE,0.498,0.517,6.0,-11.403,0.0,0.262,0.211,0.0,0.339,0.405,109.716,188969.0,5.0
Starting Over,Chris Stapleton,45,42,25,34,1,3TNSVsiFngfe68UJpMq1oS,0.638,0.538,10.0,-8.445,1.0,0.0315,0.452,0.000415,0.0695,0.318,89.124,240413.0,4.0
Stay Down,"Lil Durk, 6LACK & Young Thug",87,0,73,4,1,6w4PV16oMh5I6ZOCvig0hK,0.813,0.57,3.0,-8.409,0.0,0.265,0.0909,0.0,0.0982,0.676,109.07,169330.0,4.0
Still Goin Down,Morgan Wallen,94,76,45,8,1,096YtKWNRXdmYKFLelSBto,0.58,0.751,7.0,-5.078,1.0,0.0267,0.49,0.0,0.277,0.718,148.108,186293.0,4.0
Still Trappin',Lil Durk & King Von,86,87,53,9,1,43BlKpJcSrC9AsJ3F1DKg9,0.877,0.677,5.0,-4.969,0.0,0.356,0.0439,0.0,0.0986,0.627,144.941,172185.0,4.0
Street Runner,Rod Wave,73,68,16,9,1,45kgqMRkC29qjBlzeaJcad,0.613,0.61,5.0,-8.633,0.0,0.246,0.211,0.000361,0.152,0.433,160.004,252021.0,4.0
Streets,Doja Cat,18,26,18,9,1,60ynsPSSKe6O3sfwRnIBRf,0.749,0.463,11.0,-8.433,1.0,0.0828,0.208,0.0371,0.337,0.19,90.028,226987.0,4.0
Take Me Home For Christmas,Dan + Shay,89,48,48,4,1,72HP2M4jjw4t0AIGdEVGEF,0.694,0.769,6.0,-4.665,1.0,0.0325,0.163,0.0,0.0976,0.663,93.033,203880.0,4.0
Take You Dancing,Jason Derulo,78,78,57,8,1,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2.0,-4.248,1.0,0.041,0.0332,0.0,0.0876,0.753,112.985,190306.0,4.0
Tampa,Cico P,91,97,91,2,1,5jc4Qcs98R4ZDku8ictuE3,0.888,0.408,8.0,-10.162,0.0,0.487,0.164,0.0,0.0912,0.742,77.029,176160.0,4.0
Telepatia,Kali Uchis,54,56,39,9,1,6tDDoYIxWvMLTdKpjFkc1B,0.653,0.524,11.0,-9.016,0.0,0.0502,0.112,0.0,0.203,0.553,83.97,160191.0,4.0
Test Drive,Ariana Grande,61,0,61,1,1,3eZYOQO4UzKrUDYDghtnFw,0.698,0.708,9.0,-4.943,0.0,0.0454,0.0251,0.0,0.124,0.322,115.036,122174.0,4.0
Thankful,DJ Khaled Featuring Lil Wayne & Jeremih,100,0,100,1,1,5suOUHDyRxvWDYF5GA6dly,0.352,0.758,9.0,-2.491,0.0,0.0434,0.536,0.0,0.161,0.653,84.281,338637.0,4.0
The Business,Tiesto,78,83,69,9,1,6f3Slt0GbA2bPZlz0aIFXN,0.798,0.62,8.0,-7.079,0.0,0.232,0.414,0.0192,0.112,0.235,120.031,164000.0,4.0
The Christmas Song (Merry Christmas To You),Nat King Cole,44,11,11,27,1,4PS1e8f2LvuTFgUs1Cn3ON,0.319,0.21,1.0,-15.231,1.0,0.0341,0.92,8.06e-05,0.138,0.209,78.696,192160.0,4.0
The Good Ones,Gabby Barrett,48,55,48,9,1,3hLuHKzG1cmlRpq53ZVWd8,0.519,0.552,2.0,-5.023,1.0,0.0259,0.18,0.0,0.149,0.331,89.957,215141.0,4.0
The Way I Loved You (Taylor's Version),Taylor Swift,94,0,94,1,1,2Ks3xzx2GVndh0gzpEa4hG,0.402,0.732,5.0,-4.665,1.0,0.0484,0.0033,0.0,0.108,0.472,161.032,243137.0,4.0
Therefore I Am,Billie Eilish,14,18,2,9,1,54bFM56PmE4YLRnqpW6Tha,0.889,0.34,11.0,-7.773,0.0,0.0697,0.218,0.13,0.055,0.716,94.009,174321.0,4.0
This Bar,Morgan Wallen,92,0,92,1,1,075qcpR3BnxD5CWUIx1HTr,0.553,0.884,2.0,-5.306,1.0,0.0771,0.0921,0.00033,0.0463,0.248,110.074,185280.0,4.0
Throat Baby (Go Baby),BRS Kash,50,46,24,22,1,15C4TnrrVdym7UykxQIOTZ,0.878,0.475,1.0,-8.42,0.0,0.324,0.00984,0.0,0.167,0.397,131.988,211610.0,4.0
Time Today,Moneybagg Yo,49,58,37,9,1,0YrKSfpvflYnLSBd4Jtu6J,0.912,0.608,1.0,-7.686,1.0,0.397,0.0458,0.0,0.248,0.327,136.994,136900.0,4.0
Tombstone,Rod Wave,63,58,11,8,1,5pRTz4O2qOkr5nawemy6Wb,0.55,0.637,8.0,-5.212,1.0,0.163,0.597,0.0,0.129,0.535,84.448,160078.0,4.0
Took Her To The O,King Von,86,94,47,8,1,7fEoXCZTZFosUFvFQg1BmW,0.82,0.592,1.0,-7.002,1.0,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180.0,4.0
Track Star,Mooski,37,35,35,9,1,5hChuUMe5iHfjkXgzj1D4b,0.641,0.598,7.0,-5.7,0.0,0.324,0.381,0.0,0.0921,0.285,131.459,199706.0,5.0
Tyler Herro,Jack Harlow,94,78,34,20,1,4DuUwzP4ALMqpquHU0ltAB,0.794,0.756,5.0,-7.16,0.0,0.136,0.11,0.0,0.247,0.775,123.066,156498.0,4.0
Underneath The Tree,Kelly Clarkson,50,12,12,10,1,3YZE5qDV7u1ZD1gZc47ZeR,0.509,0.812,8.0,-5.439,1.0,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,229640.0,4.0
Undivided,Tim McGraw & Tyler Hubbard,100,0,76,2,1,2DINVEELpI3ibUW2EzeDs7,0.583,0.812,10.0,-4.684,1.0,0.0299,0.131,0.0,0.201,0.408,89.992,175921.0,4.0
Unstable,Justin Bieber Featuring The Kid LAROI,62,0,62,1,1,137mSruegm1u6x9NvwiagR,0.495,0.333,4.0,-10.109,0.0,0.0288,0.737,0.0,0.112,0.37,99.757,158324.0,4.0
Up,Cardi B,4,4,1,9,1,1XXimziG1uhM0eDNCZCrUl,0.868,0.795,11.0,-6.044,1.0,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945.0,4.0
Vamp Anthem,Playboi Carti,90,0,90,1,1,4CzhtKifG867Lu5DNQVBSA,0.642,0.69,11.0,-5.101,1.0,0.261,0.00599,1.3e-06,0.322,0.641,164.075,124094.0,4.0
WAP,Cardi B Featuring Megan Thee Stallion,50,48,1,24,1,4Oun2ylbjFKMPTiaSbbCih,0.935,0.454,1.0,-7.509,1.0,0.375,0.0194,0.0,0.0824,0.357,133.073,187541.0,4.0
Wants And Needs,Drake Featuring Lil Baby,42,39,2,9,1,65OVbaJR5O1RmwOQx0875b,0.578,0.449,1.0,-6.349,1.0,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956.0,4.0
Warning,Morgan Wallen,93,79,42,5,1,64SCQtbRtmO28ks1QhS3w5,0.633,0.664,10.0,-5.037,1.0,0.0294,0.46,0.0,0.108,0.268,115.058,156747.0,4.0
Wasted On You,Morgan Wallen,64,62,9,9,1,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11.0,-5.24,0.0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520.0,3.0
Watermelon Sugar,Harry Styles,42,47,1,39,1,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
Way Less Sad,AJR,85,99,85,3,1,4jbtL4tjkqghUvJknUqU1s,0.701,0.547,2.0,-8.238,1.0,0.0483,0.00843,0.0,0.0987,0.4,140.015,206108.0,4.0
Way Out,Jack Harlow Featuring Big Sean,83,98,74,4,1,6rLi6PyWXu1rPlShuIZpj6,0.945,0.582,11.0,-8.357,0.0,0.0719,0.114,0.0,0.103,0.907,108.025,168906.0,4.0
We're Good,Dua Lipa,45,42,42,9,1,1diS6nkxMQc3wwC4G1j0bh,0.722,0.588,6.0,-5.932,1.0,0.0544,0.0319,0.0,0.183,0.59,134.01,165507.0,4.0
What It Feels Like,Nipsey Hussle & JAY-Z,51,0,51,1,1,7Ei7kZxjEw9d76cEDxoxua,0.394,0.734,1.0,-4.574,0.0,0.185,0.0329,1.26e-06,0.109,0.0778,86.897,275163.0,4.0
What You Know Bout Love,Pop Smoke,28,26,9,36,1,1tkg4EHVoqnhR6iFEXb60y,0.709,0.548,10.0,-8.493,1.0,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000.0,4.0
What You Need,Don Toliver,82,0,82,1,1,6LcX2hBbXaJcK4AuefE936,0.664,0.655,10.0,-7.327,0.0,0.0461,0.059,2.4e-05,0.17,0.13,129.987,217609.0,4.0
What's Love??,Rod Wave,94,0,94,1,1,1snCyfUEoAFGMRzeGrwdio,0.492,0.359,8.0,-12.047,0.0,0.187,0.819,0.0,0.0962,0.649,153.738,178854.0,3.0
What's Next,Drake,45,30,1,9,1,3mDFLytDotXo2p0rvfGbkA,0.777,0.58,0.0,-6.928,0.0,0.0525,0.0125,0.0,0.161,0.0636,129.918,178154.0,4.0
What's Your Country Song,Thomas Rhett,56,54,54,9,1,65tP0mThMEaHbVIzdYHZYw,0.359,0.706,5.0,-6.151,1.0,0.0309,0.000602,0.0,0.285,0.479,174.079,171333.0,4.0
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",49,44,2,51,1,1jaTQ3nqY3oAAYyCTbIvnM,0.923,0.604,11.0,-6.671,0.0,0.245,0.017,0.0,0.272,0.826,145.062,139741.0,4.0
Whiskey'd My Way,Morgan Wallen,83,0,83,1,1,6HsXpHn2s6S9arU3Wy7ndc,0.443,0.518,2.0,-6.373,1.0,0.0266,0.603,0.00225,0.0984,0.323,185.764,180787.0,3.0
Whoopty,CJ,21,27,21,9,1,5vGLcdRuSbUhD8ScwsGSdA,0.719,0.648,3.0,-7.6,0.0,0.125,0.2,0.0,0.127,0.66,140.201,123263.0,4.0
Willow,Taylor Swift,29,29,1,9,1,0lx2cLdOt3piJbcaXIV74f,0.392,0.574,7.0,-9.195,1.0,0.17,0.833,0.00179,0.145,0.529,81.112,214707.0,4.0
Without You,The Kid LAROI,52,47,47,9,1,27OeeYzk6klgBh83TSvGMA,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,161385.0,4.0
Wockesha,Moneybagg Yo,42,57,42,3,1,0nqhKXDjsyBMvbeWmgijD0,0.582,0.537,0.0,-9.229,1.0,0.619,0.129,0.0,0.0749,0.771,82.103,180930.0,4.0
Wonder,Shawn Mendes,91,0,18,11,1,5KCbr5ndeby4y4ggthdiAb,0.333,0.637,1.0,-4.904,0.0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693.0,4.0
Wonderin' Bout The Wind,Morgan Wallen,93,0,93,1,1,2p6hbwOB2u5hI4Uc8FDNL3,0.481,0.715,6.0,-5.626,1.0,0.0334,0.244,0.0,0.133,0.395,90.966,182227.0,4.0
X Gon' Give It To Ya,DMX,46,0,46,17,1,1zzxoZVylsna2BQB65Ppcb,0.761,0.899,10.0,-3.09,0.0,0.183,0.0135,0.0,0.0719,0.673,95.027,217587.0,4.0
You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris,72,0,51,2,1,79TqQN2UobQQGUTMBRAlNi,0.362,0.41,2.0,-9.028,1.0,0.034,0.991,0.851,0.115,0.414,136.873,174009.0,4.0
You Belong With Me (Taylor's Version),Taylor Swift,75,0,75,1,1,4P7LVHDbzn7aI6wWRh5AHc,0.632,0.773,6.0,-4.856,1.0,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124.0,4.0
You Broke Me First.,Tate McRae,39,35,17,38,1,45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,169266.0,4.0
You Got It,VEDO,81,85,81,9,1,4lsHZ92XCFOQfzJFBTluk8,0.762,0.433,5.0,-8.937,1.0,0.187,0.143,0.0,0.118,0.394,122.074,203145.0,4.0
You're Mines Still,Yung Bleu Featuring Drake,27,32,27,9,1,3wJ1OyP3Fugmi8t41e1zQ6,0.613,0.615,5.0,-4.859,0.0,0.107,0.308,0.0,0.107,0.342,86.782,226220.0,4.0
Your Bartender,Morgan Wallen,84,0,84,1,1,01FvQEvHETjWqcDpQDJdTb,0.555,0.771,4.0,-5.237,1.0,0.0282,0.247,7.26e-05,0.149,0.442,139.971,185093.0,4.0
Your Power,Billie Eilish,29,10,10,2,1,5qNh5WtzMbfpSj2jLlBkoD,0.634,0.285,9.0,-14.007,0.0,0.0807,0.937,0.000359,0.232,0.203,129.65,245897.0,4.0
ZaZa,6ix9ine,90,0,90,1,1,5cMoYjSCddCVVRUiVRv88q,0.764,0.725,8.0,-4.192,0.0,0.366,0.324,0.0,0.0816,0.698,175.985,115674.0,4.0
interlude,J. Cole,8,0,8,1,1,2GBjsCkCpR5w8Zri9aE49H,0.469,0.309,7.0,-13.694,1.0,0.091,0.965,0.0,0.115,0.235,112.412,52600.0,4.0
pov,Ariana Grande,55,66,40,9,1,3UoULw70kMsiVXxW0L3A33,0.487,0.534,0.0,-5.664,0.0,0.0555,0.36,0.0,0.1,0.173,131.798,201882.0,4.0
