song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Like I Want You,Giveon,87,0,87,4,1,6qBFSepqLCuh5tehehc1bd,0.678,0.355,10.0,-7.757,0.0,0.0627,0.759,7.06e-05,0.114,0.438,119.772,260776.0,3.0
Lil Bit,Nelly & Florida Georgia Line,60,61,60,8,1,0NmuYnjETG3u3qx0OmEJev,0.707,0.689,4.0,-7.097,0.0,0.0387,0.0255,0.0,0.383,0.41,119.987,195962.0,4.0
Livin' The Dream,Morgan Wallen,74,0,74,2,1,2L4YgbxxwmwafMqLIjSx8q,0.621,0.754,7.0,-5.904,0.0,0.0269,0.575,0.00484,0.213,0.441,127.036,239120.0,4.0
Lo Vas A Olvidar,Billie Eilish & ROSALIA,62,0,62,1,1,0psS4i5YooJrXfDnGvWRLi,0.343,0.243,4.0,-14.66,0.0,0.0777,0.721,0.00198,0.0668,0.032,135.154,203464.0,4.0
Lonely,Justin Bieber & benny blanco,41,30,12,20,1,4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,11.0,-7.071,0.0,0.0398,0.864,0.0,0.116,0.0927,79.859,149297.0,4.0
Long Live,Florida Georgia Line,52,60,48,9,1,0YfRAYTNTNszGg8VARrSIH,0.611,0.846,7.0,-3.548,1.0,0.0374,0.178,0.0,0.12,0.544,129.961,153253.0,4.0
Lost,NF Featuring Hopsin,79,0,79,1,1,3GZD6HmiNUhxXYf8Gch723,0.913,0.603,8.0,-4.892,1.0,0.226,0.0272,0.000503,0.167,0.497,123.061,234093.0,4.0
Love Story (Taylor's Version),Taylor Swift,52,0,11,2,1,5RaBeejGtdPEszYEKYECs2,0.669,0.56,11.0,-8.285,0.0,0.0352,0.00215,3.23e-05,0.264,0.155,123.068,211857.0,4.0
Love You Different,Justin Bieber Featuring BEAM,84,0,84,1,1,27UcQ6dAvQrgH9C880rCM3,0.759,0.584,8.0,-6.655,1.0,0.06,0.0652,1.59e-06,0.16,0.374,127.138,186696.0,4.0
Love You Like I Used To,Russell Dickerson,56,60,31,20,1,1D7cfiC5mxqHfTCcOiRBej,0.501,0.788,10.0,-4.624,1.0,0.0415,0.12,0.0,0.137,0.61,152.047,186613.0,4.0
Loved By You,Justin Bieber Featuring Burna Boy,87,0,87,1,1,2tB9OFgAHjAds3cqquLlvp,0.79,0.724,1.0,-6.972,1.0,0.0852,0.0696,2.33e-06,0.113,0.642,101.04,159250.0,4.0
M3tamorphosis,Playboi Carti Featuring Kid Cudi,99,0,99,1,1,7zLMYtNJcabv4h4wBnjNQI,0.657,0.604,0.0,-6.045,1.0,0.0374,0.0213,0.0,0.156,0.122,73.933,312257.0,4.0
Made For You,Jake Owen,42,43,42,9,1,7vF3xkCMvZjAe2nTWY0uQZ,0.581,0.441,1.0,-6.829,1.0,0.0268,0.77,2.75e-05,0.111,0.337,82.125,238400.0,4.0
Masterpiece,DaBaby,74,71,55,9,1,26UxwWl9xCb83OynXELJcL,0.781,0.726,0.0,-4.213,1.0,0.0836,0.0299,0.0,0.093,0.436,139.988,181714.0,4.0
Met Him Last Night,Demi Lovato Featuring Ariana Grande,93,61,61,2,1,0BI0hfbmqybnd3TezrDME3,0.538,0.512,4.0,-4.548,0.0,0.0262,0.22,0.0,0.101,0.12,144.978,204632.0,4.0
Midnight Sky,Miley Cyrus,98,71,14,20,1,27ycaQnQAxaPiyeg3nr2aB,0.705,0.814,4.0,-5.466,0.0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279.0,4.0
Minimum Wage,Blake Shelton,96,0,96,1,1,4ijajhHtBsOn91S4dgkhu7,0.546,0.934,4.0,-3.796,1.0,0.0643,0.00187,0.0,0.062,0.775,89.972,228187.0,4.0
Miss The Rage,Trippie Redd & Playboi Carti,11,0,11,1,1,2BITQ360Knh6qNAOqR7Dyq,0.584,0.859,8.0,-5.616,1.0,0.121,0.0144,0.0,0.847,0.369,77.005,236883.0,4.0
Momma's House,Dustin Lynch,62,67,62,9,1,51FVpJr3WL7vvdfCa7j2jr,0.633,0.858,11.0,-3.509,0.0,0.0356,0.278,0.0,0.315,0.541,119.998,220160.0,4.0
Monster,Shawn Mendes & Justin Bieber,67,55,8,9,1,2UREu1Y8CO4jXkbvqAtP7g,0.64,0.957,8.0,-2.336,1.0,0.0741,0.0431,0.0,0.0789,0.692,134.992,178013.0,4.0
Monsters,All Time Low Featuring Demi Lovato & blackbear ,55,59,55,9,1,0tyR7Bu9P086aWBFZ4QJoo,0.369,0.845,0.0,-3.449,0.0,0.0611,0.0493,0.0,0.416,0.782,78.532,174068.0,4.0
Montero (Call Me By Your Name),Lil Nas X,10,9,1,7,1,67BtfxlNbhBmCDR2L2l8qd,0.61,0.508,8.0,-6.682,0.0,0.152,0.297,0.0,0.384,0.758,178.818,137876.0,4.0
Mood,24kGoldn Featuring iann dior,24,24,1,40,1,4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,140533.0,4.0
Moonwalking In Calabasas,DDG,83,81,81,9,1,7o4gBbTM6UBLkOYPw9xMCz,0.928,0.341,11.0,-10.196,0.0,0.103,0.0614,0.0,0.162,0.745,129.966,170233.0,4.0
More Surprised Than Me,Morgan Wallen,66,0,66,1,1,5NhcE6cuJjVYyVEKp97zOt,0.516,0.748,6.0,-6.049,1.0,0.0289,0.241,0.0,0.123,0.433,85.004,157440.0,4.0
More Than My Hometown,Morgan Wallen,38,30,15,32,1,5OELUCYgOHKFAvCERnAvfS,0.62,0.869,6.0,-5.479,1.0,0.0462,0.615,0.0,0.131,0.597,126.019,216573.0,4.0
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,90,30,30,3,1,1HS7P1v50YmX12LCEmlF0F,0.66,0.817,11.0,-6.269,0.0,0.0521,0.162,0.0,0.0667,0.714,135.942,277592.0,4.0
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,100,80,10,18,1,4Q34FP1AT7GEl9oLgNtiWj,0.647,0.667,5.0,-5.563,1.0,0.304,0.231,0.0,0.133,0.704,172.08,193839.0,4.0
My Ex's Best Friend,Machine Gun Kelly X blackbear,20,21,20,39,1,7kDUspsoYfLkWnZR7qwHZl,0.731,0.675,5.0,-5.134,0.0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461.0,4.0
My Head And My Heart,Ava Max,63,57,45,9,1,7ckI3ETGDnm48HsZOCpikz,0.623,0.869,9.0,-8.018,0.0,0.0491,0.0417,1.03e-05,0.224,0.585,116.008,176224.0,4.0
Neighbors,Pooh Shiesty Featuring BIG30,97,92,51,7,1,0utlOiJy2weVl9WTkcEWHy,0.898,0.283,6.0,-12.335,0.0,0.356,0.319,0.000383,0.11,0.469,138.97,216520.0,4.0
Neon Eyes,Morgan Wallen,63,0,63,1,1,3kOi5KZTcCOdqFlUjF9CDZ,0.576,0.843,11.0,-5.26,0.0,0.029,0.0214,8.04e-05,0.157,0.628,126.009,226147.0,4.0
Never Left,Lil Tecca,56,0,56,1,1,21UkXrc9kD48rNpTMI2ecz,0.807,0.659,11.0,-6.92,1.0,0.332,0.0224,0.0,0.309,0.438,82.465,168727.0,4.0
New N3on,Playboi Carti,92,0,92,1,1,7ejepEh5DJ79YI6owGRfkk,0.888,0.833,6.0,-6.546,0.0,0.0737,0.0631,0.0,0.106,0.948,130.054,116361.0,4.0
No More Parties,Coi Leray Featuring Lil Durk,34,39,26,9,1,3R6wLBD4oU6op8L4YfMho9,0.847,0.405,11.0,-10.901,1.0,0.584,0.232,5.37e-06,0.0944,0.588,156.999,140920.0,4.0
Nobody,Dylan Scott,69,86,69,9,1,6bTn1ovliI0OkjUNkiMBJq,0.398,0.716,0.0,-5.254,1.0,0.0392,0.0764,0.0,0.0848,0.494,117.295,193429.0,4.0
OMDB,Rod Wave,89,0,89,1,1,0KBa4BiUHxQNrqsaDZzUG7,0.522,0.523,1.0,-9.325,1.0,0.0538,0.183,0.0,0.122,0.184,82.408,185074.0,4.0
Off My Face,Justin Bieber,64,0,64,1,1,3T03rPwlL8NVk1yIaxeD8U,0.509,0.228,4.0,-8.68,1.0,0.0332,0.92,0.0,0.104,0.586,90.674,156468.0,4.0
On Me,Lil Baby,30,29,29,9,1,4Iedi94TIaB2GGb1nMB68v,0.856,0.564,6.0,-6.295,0.0,0.392,0.00327,0.0,0.134,0.483,77.972,135960.0,4.0
On The Ground,ROSE,70,0,70,1,1,2pn8dNVSpYnAtlKFC8Q0DJ,0.311,0.607,1.0,-6.578,1.0,0.11,0.0174,0.0,0.131,0.286,188.7,168086.0,4.0
One Too Many,Keith Urban Duet With P!nk,92,94,62,9,1,5NUXE8W12lWcUXgJRCjeEw,0.697,0.535,4.0,-6.504,1.0,0.068,0.247,0.0,0.569,0.594,82.959,203893.0,4.0
Only Thing That's Gone,Morgan Wallen Featuring Chris Stapleton,90,0,90,1,1,0CfPMZ1DSdzglsMRpLDM2H,0.5,0.803,2.0,-4.591,1.0,0.032,0.11,2.12e-05,0.296,0.451,150.058,196707.0,4.0
Only Wanna Be With You,Post Malone,74,0,74,1,1,1OFKUn2VLafrHj7ybnap0Q,0.49,0.873,6.0,-5.861,1.0,0.0355,0.107,5.19e-06,0.118,0.513,103.272,229587.0,4.0
Opp Stoppa,YBN Nahmir Featuring 21 Savage,95,86,78,6,1,59fFsGRwFiuhxKDPc1k6xW,0.829,0.343,2.0,-4.937,0.0,0.102,0.00734,0.0,0.179,0.312,78.035,135431.0,4.0
Outlaw,Morgan Wallen Featuring Ben Burgess,86,0,86,1,1,2NK6dtSujGIyilnEgbw8MX,0.505,0.63,7.0,-5.758,1.0,0.0274,0.572,0.0,0.121,0.247,85.036,229747.0,4.0
Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench,77,0,77,1,1,0GqaZ1L5KAXMNngAZbGvLf,0.484,0.596,1.0,-8.523,1.0,0.424,0.0299,0.0,0.119,0.21,81.86,201547.0,4.0
Party Up (Up In Here),DMX,40,0,27,22,1,4AIHPdr6x3qNbxTR8ngWdQ,0.554,0.941,11.0,-2.68,1.0,0.339,0.065,0.0,0.19,0.409,100.801,228400.0,4.0
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,3,3,1,8,1,4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,198082.0,4.0
Pick Up Your Feelings,Jazmine Sullivan,83,75,75,9,1,2JLVZYEMmqPWbUoAJAMKfm,0.729,0.414,7.0,-6.138,0.0,0.0565,0.291,0.0,0.0793,0.565,85.729,232096.0,3.0
Pills & Billz,Rod Wave,85,0,85,1,1,7BG9FMjUVSCbVSCqP4drUU,0.725,0.548,5.0,-9.406,1.0,0.23,0.162,0.0,0.182,0.696,160.858,155031.0,4.0
Positions,Ariana Grande,37,37,1,29,1,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015,172325.0,4.0
Pretty Heart,Parker McCollum,37,40,36,22,1,6vC90OOjZR165Hw8CpsqEm,0.562,0.683,7.0,-4.427,1.0,0.0296,0.00531,0.0,0.107,0.385,132.003,244798.0,4.0
Prisoner,Miley Cyrus Featuring Dua Lipa,79,73,54,9,1,5JqZ3oqF00jkT81foAFvqg,0.781,0.67,3.0,-3.912,0.0,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333.0,4.0
Proud Of You,Young Thug Featuring Lil Uzi Vert & Yung Kayo,59,0,59,1,1,16eZmQoeajKH8G2nPe2chk,0.848,0.451,5.0,-7.539,0.0,0.228,0.0208,0.0,0.194,0.223,135.941,211733.0,4.0
Provide,G-Eazy Featuring Chris Brown & Mark Morrison,64,0,64,1,1,0tQmgwFKw9069z1BXniOiA,0.652,0.803,9.0,-4.116,0.0,0.238,0.0165,0.0,0.307,0.661,95.025,186350.0,4.0
Put Your Records On,Ritt Momney,43,43,30,25,1,6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,6.0,-10.778,0.0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463.0,4.0
Quicksand,Morray,73,83,73,9,1,4iCZ6Cr76For1TuHUQ90r8,0.901,0.656,4.0,-7.452,0.0,0.277,0.0807,0.0,0.181,0.599,119.956,224933.0,4.0
Ramen & OJ,Joyner Lucas & Lil Baby,75,67,67,2,1,4TIqzdAssasqx3DAe6cG9J,0.597,0.571,1.0,-6.205,0.0,0.293,0.492,0.0,0.093,0.165,106.196,218448.0,3.0
Rapstar,Polo G,7,6,1,5,1,43PGPuHIlVOc04jrZVh9L6,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,165926.0,4.0
Real As It Gets,Lil Baby Featuring EST Gee,100,83,34,6,1,7eX3um6NpOQKWJMGCi97XD,0.779,0.705,6.0,-5.891,0.0,0.163,0.00471,0.0,0.0971,0.196,140.005,192804.0,4.0
Redman,Lil Durk,71,0,71,1,1,6ryWmFIfWRxIuqmUPtKIDh,0.74,0.511,9.0,-10.507,0.0,0.262,0.481,0.0,0.12,0.841,160.017,95915.0,4.0
Refugee,Lil Durk,86,0,86,1,1,4mcZYzoGwPRDdhWVlygiHf,0.579,0.705,6.0,-4.911,0.0,0.0339,0.0273,0.0,0.0704,0.761,116.173,201693.0,4.0
Reminds Me Of You,The Kid LAROI & Juice WRLD,99,0,89,2,1,5YSHygGN9D0mID1NsVd5my,0.613,0.631,4.0,-6.965,1.0,0.12,0.0663,0.0,0.169,0.33,149.992,158033.0,4.0
Richer,Rod Wave Featuring Polo G,97,91,22,7,1,7HsjuVBM93Z2RoxjpWLgTT,0.726,0.411,1.0,-12.929,1.0,0.0671,0.438,0.0,0.087,0.734,137.905,190459.0,3.0
Rockin' Around The Christmas Tree,Brenda Lee,12,2,2,39,1,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,126267.0,4.0
Rockstar,DaBaby Featuring Roddy Ricch,49,44,1,42,1,7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
