,artist,song,uri
63,Darlene Love,Christmas (Baby Please Come Home),spotify:track:47ohYW8e7dxCYn9qbUMBCI
64,Michael Bublé,Christmas (Baby Please Come Home),spotify:track:4cfFatS3ssDtqDDRz25RRB
65,Justin Bieber,Lonely (with benny blanco),spotify:track:4y4spB9m0Q6026KfkAvy9Q
66,Justin Bieber,Lonely,spotify:track:75oHaRJvNmDPiBm0xX39S4
67,Noah Cyrus,Lonely,spotify:track:6U1iuA5QfzYRPJxvdcxqtf
68,Justin Bieber,Lonely - Acoustic,spotify:track:0qgroaADtP0eZOY7Vja6c8
69,Machine Gun Kelly,lonely,spotify:track:6EPxapAlha7pEyn5kXgW3R
70,Bobby Helms,Jingle Bell Rock,spotify:track:7vQbuQcyTflfCIOu3Uzzya
71,Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,spotify:track:6pVW5LRWgeLaHudxauOTJU
72,Bobby Helms,Jingle Bell Rock,spotify:track:6xE98wKYt4vZk8j7cctjw8
73,Glee Cast,Jingle Bell Rock,spotify:track:77GcYr9JP6uvJM0kPa6Nzk
74,Bobby Helms,Jingle Bell Rock,spotify:track:3hBXvHLlTHvnbwrPbeoyAj
75,Chris Brown,Go Crazy,spotify:track:1IIKrJVP1C9N7iPtG6eOsK
76,Chris Brown,"Go Crazy (Remix) (feat. Young Thug, Future, Lil Durk & Mulatto)",spotify:track:1Jz1yhcPm1Yt6aoed3zact
77,DJ Khaled,WE GOING CRAZY (feat. H.E.R. & Migos),spotify:track:6BvcWv1vfVJSoWix7L5BAP
78,Lil Tjay,Go Crazy,spotify:track:3yLihVmeyZlulIVvHmJF7N
79,Afroman,Crazy Rap (Colt 45 & 2 Zig Zags),spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM
80,Chris Lane,"Big, Big Plans",spotify:track:7yNJCsUH3tXlpQiHSsAc5l
81,Chris Lane,"Big, Big Plans (Acoustic)",spotify:track:3thumKnUsEWWqSNRlADxZ8
82,The Buttertones,Orpheus Under the Influence,spotify:track:7KwJrAQMoJyUEBes3evMLv
83,Chris Lane,"Big, Big Plans (Live)",spotify:track:1pYRNzo6ejCRptvIURMdKh
84,P-Lo,same squad,spotify:track:0YCl0i8CTDqtISiphhLIE8
85,Eminem,Gnat,spotify:track:6cS9PmLky2NhLOhpIsUlow
86,Hook,Gnat,spotify:track:5QrZkT3OrQDyi3QtV7dqIT
87,Eminem,Gnat,spotify:track:5wqUYUHwdmHuXpjmBB7wxY
88,Tülpa,Gnats (feat. Blankts),spotify:track:75NAinBNFqfQynYQA63hju
89,Kansas,Magnum Opus: Father Padilla Meets the Perfect Gnat / Howling at the Moon / Man Overboard / Industry on Parade / Release the Beavers / Gnat Attack,spotify:track:3pPe5vc5aYV2cdUt11H54h
90,Luke Combs,Forever After All,spotify:track:6IBcOGPsniK3Pso1wHIhew
91,Isabella Louviere,Forever After All,spotify:track:2OD9NdtNKOpo9x9pd4uSbM
92,Paramore,Still into You,spotify:track:1yjY7rpaAQvKwpdUliHx0d
93,Mystic Shiver,Forever After All - Metal Version,spotify:track:1letpZPTLcEomaRLIDeycx
94,Mt. Joy,Let Loose,spotify:track:4xXglb2SBiHnqPMQiItlrG
95,Harry Styles,Golden,spotify:track:45S5WTQEGOB1VHr1Q4FuPl
96,Kacey Musgraves,Golden Hour,spotify:track:0pMfPzdRiPAoSM9yWF4OcT
97,Train,"Hey, Soul Sister",spotify:track:4HlFJV71xXKIGcU3kRyttv
98,Jill Scott,Golden,spotify:track:0bHs3ly4Bv5BlzE3KrePfX
99,The Stranglers,Golden Brown,spotify:track:2AX5E86cn9n2dgioZEjirI
100,Owl City,Good Time,spotify:track:1kPpge9JDLpcj15qgrPbYX
101,Niko Moon,GOOD TIME,spotify:track:5Kpg1A7BOHpBbaT3H3xqd3
102,Led Zeppelin,Good Times Bad Times - 1993 Remaster,spotify:track:0QwZfbw26QeUoIy82Z2jYp
103,Green Day,Good Riddance (Time of Your Life),spotify:track:6ORqU0bHbVCRjXm9AjyHyZ
104,Jimmie Allen,Good Times Roll,spotify:track:2A0JdQvwSbOtI9sSIIxgQR
105,Luke Combs,Better Together,spotify:track:6gdLyYNuhWBzqwlOFSsXC7
106,Jack Johnson,Better Together,spotify:track:4VywXu6umkIQ2OS0m1I79y
107,Lofi Fruits Music,Better Together,spotify:track:0PO1YxbnvzYayge7GgQFQ2
108,Jack Johnson,Better Together,spotify:track:2rbBOkJEEI0S91t3STS6I2
109,Us The Duo,Better Together,spotify:track:6huS9u0BDfeQHq0lObNLPl
110,Jeff Buckley,Hallelujah,spotify:track:3pRaLNL3b8x5uBOcsgvdqM
111,LANCO,Greatest Love Story,spotify:track:2yQZwi1P8AkkxxFhQ8rMEK
112,Pentatonix,Hallelujah,spotify:track:0HZk0QsXPhMNAWNDR3rYE8
113,Panic! At The Disco,Hallelujah,spotify:track:6TzJLISIitIzn1WtjDY0Op
114,Kenny Chesney,All the Pretty Girls,spotify:track:66pxmg3Jhjm09tHoWR1wVR
115,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),spotify:track:0PvFJmanyNQMseIFrU708S
