song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Make It Back,Juice WRLD,92.0,0.0,92.0,1.0,1.0,2EhJijFUs0WUmNClDBpYJq,0.75,0.387,1.0,-10.123,0.0,0.487,0.122,0.0,0.0993,0.7390000000000001,143.019,102560.0,4.0
Forever After All,Luke Combs,92.0,0.0,0.0,0.0,1.0,6IBcOGPsniK3Pso1wHIhew,0.487,0.65,0.0,-5.195,1.0,0.0253,0.191,0.0,0.0933,0.456,151.964,232533.0,4.0
I Was Jack (You Were Diane),Jake Owen,93.0,0.0,93.0,1.0,1.0,3dlCF1mzW1UKMOb4b1XN17,0.604,0.868,6.0,-3.539,1.0,0.0445,0.086,0.0,0.0502,0.5529999999999999,94.057,187027.0,4.0
Hotel Key,Old Dominion,93.0,0.0,93.0,1.0,1.0,33471tzU1VghDg9zNgGRpz,0.758,0.867,11.0,-5.087,1.0,0.0475,0.152,0.0,0.308,0.964,102.018,166573.0,4.0
Maybe It's Time,Bradley Cooper,93.0,0.0,93.0,1.0,1.0,6jMbPsH6lTOLs5n8Af26AG,0.6990000000000001,0.282,7.0,-7.65,1.0,0.0374,0.7979999999999999,1.23e-06,0.0981,0.359,79.77600000000002,159293.0,4.0
Good Girl,Dustin Lynch,93.0,0.0,93.0,1.0,1.0,3NgcaTIgVh77DdwAInp996,0.711,0.696,7.0,-5.05,1.0,0.0869,0.16,0.0,0.17,0.6940000000000001,80.512,189533.0,4.0
Most People Are Good,Luke Bryan,94.0,0.0,94.0,1.0,1.0,79LAFAkR1ATb4iIQvZuCL0,0.586,0.732,8.0,-6.171,1.0,0.0279,0.17600000000000002,0.0,0.14800000000000002,0.5820000000000001,150.109,221801.0,4.0
I Guess I Just Feel Like,John Mayer,94.0,0.0,94.0,1.0,1.0,1HNywa8Bk0TmzRwQrzhtPo,0.556,0.528,4.0,-8.033,1.0,0.0266,0.615,0.0964,0.122,0.163,159.821,285480.0,4.0
Knockin' Boots,Luke Bryan,94.0,0.0,94.0,1.0,1.0,6ERR6e7h6wCqGoz1TjiUJb,0.7390000000000001,0.682,2.0,-3.728,1.0,0.205,0.129,0.0,0.328,0.634,131.983,199382.0,4.0
Love You Too Late,Cole Swindell,94.0,0.0,94.0,1.0,1.0,52MNypbTWiwybwzhXvsPk5,0.542,0.797,9.0,-4.45,0.0,0.0379,0.00111,0.0,0.0906,0.593,113.95,204720.0,4.0
Last Shot,Kip Moore,95.0,0.0,95.0,1.0,1.0,6viHvc13l9A6Ua6xugpeX6,0.487,0.8590000000000001,4.0,-4.4030000000000005,1.0,0.0488,0.00204,0.0,0.322,0.377,148.037,228480.0,4.0
Miss Me More,Kelsea Ballerini,95.0,0.0,95.0,1.0,1.0,5NfJGBAL9mgFPRQxKJmiX2,0.643,0.72,2.0,-7.146,1.0,0.0527,0.014,0.0,0.0834,0.491,96.028,192840.0,4.0
Inmortal,Aventura,95.0,0.0,95.0,1.0,1.0,2swZ0X1njeU32SNJeBKIfW,0.77,0.775,8.0,-4.65,0.0,0.0349,0.17800000000000002,0.0,0.0651,0.848,124.013,256440.0,4.0
Homesick,Kane Brown,95.0,0.0,95.0,1.0,1.0,30RZAuEkYeDXvy46Iv6l7E,0.701,0.5,8.0,-8.82,1.0,0.0303,0.46,0.0,0.234,0.409,97.028,205400.0,4.0
Speechless,Dan + Shay,50.0,52.0,50.0,8.0,1.0,3GJ4hzg4lrGwU51Y3VARbF,0.616,0.438,1.0,-5.968,1.0,0.0298,0.35600000000000004,0.0,0.24,0.386,135.929,213387.0,4.0
Best Shot,Jimmie Allen,50.0,53.0,50.0,8.0,1.0,3VamXAvVMczcS2PTYtPfBQ,0.629,0.464,4.0,-8.72,1.0,0.0334,0.75,0.0,0.0853,0.523,156.05100000000004,195053.0,4.0
Singles You Up,Jordan Davis,50.0,57.0,50.0,8.0,1.0,4LiMQ6G9n84rDUBs9wtwz6,0.491,0.907,7.0,-3.594,1.0,0.0481,0.0491,0.0,0.242,0.631,199.943,182667.0,4.0
Prayed For You,Matt Stell,54.0,57.0,54.0,8.0,1.0,4j6GMcVcqZf1r0GDqMtYp6,0.6,0.698,9.0,-5.86,1.0,0.0355,0.0724,1.64e-06,0.113,0.57,140.032,210373.0,4.0
