song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mob Ties,Drake,13.0,0.0,13.0,1.0,1.0,7rC5Pl8rQSX4myONQHYPBK,0.754,0.575,4.0,-8.392999999999999,0.0,0.0682,0.045,0.00131,0.276,0.491,86.009,205147.0,4.0
Elevate,Drake,14.0,0.0,14.0,1.0,1.0,3szf2z1Cy1QMrtHrbn8rz9,0.758,0.474,1.0,-8.72,1.0,0.147,0.0152,0.0,0.11599999999999999,0.0542,76.061,184960.0,4.0
Motiv8,J. Cole,15.0,0.0,15.0,1.0,1.0,1AT4xjNarTswd0UZ5FlmKF,0.8690000000000001,0.385,4.0,-7.801,1.0,0.297,0.135,0.0,0.0931,0.596,149.89700000000002,133922.0,4.0
Nightmare,Halsey,15.0,0.0,15.0,1.0,1.0,340UVheS8z3ncW9TTUhAbc,0.611,0.622,9.0,-5.075,0.0,0.0734,0.0188,0.0,0.359,0.5379999999999999,146.11,231999.0,4.0
Everybody Dies In Their Nightmares,XXXTENTACION,42.0,0.0,42.0,5.0,1.0,3GVkPk8mqxz0itaAriG1L7,0.7340000000000001,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.11199999999999999,0.6890000000000001,129.953,95467.0,4.0
Never Really Over,Katy Perry,15.0,0.0,15.0,1.0,1.0,5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,8.0,-4.792,1.0,0.0602,0.19399999999999998,0.0,0.316,0.385,99.991,223523.0,4.0
Hollywood's Bleeding,Post Malone,15.0,0.0,15.0,1.0,1.0,7sWRlDoTDX8geTR8zzr2vt,0.405,0.6459999999999999,4.0,-3.2060000000000004,0.0,0.0476,0.331,0.0,0.10300000000000001,0.17,130.218,156267.0,4.0
Circles,Post Malone,7.0,0.0,7.0,1.0,1.0,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,215280.0,4.0
Wow.,Post Malone,47.0,0.0,47.0,1.0,1.0,7xQAfvXzm3AkraOtGPWIZg,0.8290000000000001,0.539,11.0,-7.359,0.0,0.20800000000000002,0.136,1.78e-06,0.10300000000000001,0.38799999999999996,99.96,149547.0,4.0
Lose You To Love Me,Selena Gomez,15.0,0.0,15.0,1.0,1.0,4l0Mvzj72xxOpRrp6h8nHi,0.488,0.34299999999999997,4.0,-8.985,1.0,0.0436,0.556,0.0,0.21,0.0978,102.819,206459.0,4.0
Taking A Walk,Trippie Redd,46.0,0.0,46.0,1.0,1.0,4mHgYpuGHu99Mw69E83CP2,0.767,0.5379999999999999,0.0,-6.044,0.0,0.052000000000000005,0.68,0.0,0.192,0.34299999999999997,81.031,121680.0,4.0
Takin' Shots,Post Malone,29.0,0.0,29.0,1.0,1.0,5ffntNJnJOeFv7b7DCd0Bw,0.762,0.621,0.0,-6.24,1.0,0.0866,0.61,0.0,0.46399999999999997,0.593,120.056,216747.0,4.0
Better Now,Post Malone,23.0,20.0,7.0,8.0,1.0,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10.0,-5.803999999999999,1.0,0.04,0.331,0.0,0.135,0.341,145.03799999999998,231267.0,4.0
Sucker,Jonas Brothers,1.0,0.0,1.0,1.0,1.0,22vgEDb5hykfaTwLuskFGD,0.8420000000000001,0.7340000000000001,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.9520000000000001,137.958,181027.0,4.0
Call Out My Name,The Weeknd,4.0,0.0,4.0,1.0,1.0,09mEdoA6zrmBPgTEN5qXmN,0.461,0.593,1.0,-4.954,1.0,0.0356,0.17,0.0,0.307,0.175,134.17,228373.0,3.0
The Box,Roddy Ricch,48.0,0.0,0.0,0.0,1.0,0nbXyq5TXYPCO7pr3N8S4I,0.8959999999999999,0.586,10.0,-6.687,0.0,0.0559,0.10400000000000001,0.0,0.79,0.642,116.971,196653.0,4.0
ATM,J. Cole,6.0,0.0,6.0,1.0,1.0,2UciqgwVDwro0fev3MFbxJ,0.772,0.498,8.0,-7.6610000000000005,1.0,0.649,0.115,0.0,0.0898,0.35100000000000003,81.817,216727.0,4.0
Diplomatic Immunity,Drake,7.0,0.0,7.0,1.0,1.0,4haJoBPbPj9QFKNpp9e8kx,0.654,0.8390000000000001,9.0,-5.0760000000000005,0.0,0.44299999999999995,0.0053100000000000005,0.0,0.308,0.5489999999999999,74.88600000000001,255867.0,4.0
Circles,Mac Miller,48.0,0.0,0.0,0.0,1.0,4jXl6VtkFFKIt3ycUQc5LT,0.61,0.0316,9.0,-15.186,1.0,0.0486,0.8959999999999999,0.00461,0.10800000000000001,0.37,151.964,170360.0,4.0
Good News,Mac Miller,82.0,0.0,0.0,0.0,1.0,1DWZUa5Mzf2BwzpHtgbHPY,0.794,0.32,1.0,-12.92,0.0,0.17300000000000001,0.853,0.134,0.11199999999999999,0.24100000000000002,174.088,342040.0,4.0
Circles,Megan Thee Stallion,94.0,0.0,0.0,0.0,1.0,08TILUAN56HJoS1d9mNRty,0.8420000000000001,0.789,6.0,-8.732999999999999,0.0,0.17800000000000002,0.0265,0.0,0.355,0.795,111.113,170641.0,4.0
Blue World,Mac Miller,78.0,0.0,0.0,0.0,1.0,2hwOoMtWPtTSSn6WHV7Vp5,0.742,0.5529999999999999,8.0,-8.98,1.0,0.419,0.389,0.0,0.0694,0.508,84.931,209440.0,4.0
Paranoid,Post Malone,11.0,0.0,11.0,1.0,1.0,3fpVWegR6YOS1Yk5HSMYIq,0.625,0.536,0.0,-5.428,1.0,0.0776,0.038,2.3100000000000002e-05,0.16699999999999998,0.253,159.914,221787.0,4.0
All Mine,Kanye West,11.0,0.0,11.0,1.0,1.0,3U21A07gAloCc4P7J8rxcn,0.925,0.31,11.0,-6.531000000000001,0.0,0.29100000000000004,0.12300000000000001,0.0,0.0931,0.29100000000000004,121.927,145507.0,4.0
Blinding Lights,The Weeknd,11.0,0.0,11.0,1.0,1.0,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171.005,200040.0,4.0
Photograph,J. Cole,14.0,0.0,14.0,1.0,1.0,0bhnUFDQFCEHCBlsQfHnj5,0.691,0.48700000000000004,1.0,-6.416,1.0,0.268,0.0299,0.0,0.0868,0.358,104.98,218954.0,3.0
Rich & Sad,Post Malone,14.0,0.0,14.0,1.0,1.0,2VdT56BGpdqNHUgOe1j5vc,0.599,0.5710000000000001,2.0,-4.998,1.0,0.0665,0.198,0.0,0.0969,0.285,151.974,206453.0,4.0
Dedicate,Lil Wayne,14.0,0.0,14.0,1.0,1.0,0Y7di9ZCmB6Elad5WISaPc,0.879,0.662,2.0,-6.162000000000001,1.0,0.309,0.033,0.0,0.716,0.7240000000000001,117.975,189909.0,4.0
Plug Walk,Rich The Kid,13.0,18.0,13.0,8.0,1.0,1ZAyjvIk9YiD76yYy0TEG6,0.8759999999999999,0.519,11.0,-6.531000000000001,1.0,0.14300000000000002,0.20199999999999999,0.0,0.10800000000000001,0.158,94.98100000000001,175230.0,4.0
Suge,DaBaby,14.0,16.0,14.0,8.0,1.0,2gwkD6igEhQbDQegRCcdoB,0.8759999999999999,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.8440000000000001,75.445,163320.0,4.0
Slow Dance In A Parking Lot,Jordan Davis,96.0,0.0,0.0,0.0,1.0,6MBUUSIWCzaXW4q58Ktrv9,0.523,0.8370000000000001,7.0,-4.494,1.0,0.0335,0.301,0.0,0.172,0.523,82.006,193929.0,4.0
Be Careful,Cardi B,16.0,23.0,11.0,8.0,1.0,2Yl4OmDby9iitgNWZPwxkd,0.82,0.568,6.0,-8.23,0.0,0.41100000000000003,0.0256,0.0,0.0952,0.535,152.279,210787.0,4.0
Hurt Feelings,Mac Miller,70.0,0.0,70.0,1.0,1.0,5p7GiBZNL1afJJDUrOA6C8,0.69,0.462,8.0,-8.054,1.0,0.13,0.34299999999999997,0.00218,0.113,0.325,157.655,245640.0,4.0
Kiss Somebody,Morgan Evans,76.0,0.0,76.0,1.0,1.0,4f3fb3alVLFc8Ga4ncpg7x,0.57,0.684,6.0,-7.053999999999999,1.0,0.0465,0.136,0.0,0.205,0.531,89.012,213183.0,4.0
Mood Swings,A Boogie Wit da Hoodie,76.0,0.0,76.0,1.0,1.0,0VZe8C7xgAIQC0E0qEVIEh,0.941,0.6759999999999999,4.0,-5.54,0.0,0.0936,0.21100000000000002,4.64e-06,0.0986,0.93,120.073,156960.0,4.0
Make It Right,BTS,95.0,0.0,95.0,1.0,1.0,6KUE0HSSudAp9AOycaF6SH,0.638,0.703,7.0,-7.874,1.0,0.444,0.0104,0.0,0.132,0.261,105.766,226321.0,4.0
Bad Energy,Juice WRLD,68.0,0.0,0.0,0.0,1.0,7d94IqWX2UmSKMGUYSGFJG,0.654,0.452,7.0,-6.36,1.0,0.0439,0.17,0.0,0.114,0.532,138.034,186749.0,4.0
Press,Cardi B,16.0,0.0,16.0,1.0,1.0,6dPyzkyZwoj9LqjQXOFdVv,0.888,0.525,1.0,-5.665,1.0,0.305,0.028999999999999998,5.68e-06,0.13699999999999998,0.243,133.983,143792.0,4.0
Perfect,Logic,95.0,0.0,0.0,0.0,1.0,5jbDih9bLGmI8ycUKkN5XA,0.769,0.8290000000000001,0.0,-5.228,1.0,0.0661,0.00948,6.65e-05,0.301,0.648,159.94299999999998,100291.0,4.0
Panini,Lil Nas X,16.0,0.0,16.0,1.0,1.0,1000nHvUdawXuUHgBod4Wv,0.703,0.594,5.0,-6.146,0.0,0.0752,0.342,0.0,0.12300000000000001,0.475,153.84799999999998,114893.0,4.0
Stay,Post Malone,17.0,0.0,17.0,1.0,1.0,4H7WNRErSbONkM06blBoGc,0.507,0.48,5.0,-5.417999999999999,1.0,0.0266,0.449,0.0,0.147,0.35,86.046,204427.0,4.0
Stay High,Juice WRLD,64.0,0.0,0.0,0.0,1.0,21CkzgKCBCq5V4XKjiGSIj,0.745,0.5,8.0,-6.184,1.0,0.135,0.439,0.0,0.0943,0.433,76.968,168685.0,4.0
Party Girl,StaySolidRocky,61.0,0.0,0.0,0.0,1.0,5RqR4ZCCKJDcBLIn4sih9l,0.728,0.431,6.0,-9.966000000000001,0.0,0.0622,0.7490000000000001,0.0,0.0996,0.629,130.02200000000002,147800.0,4.0
Survival,Drake,17.0,0.0,17.0,1.0,1.0,2yg9UN4eo5eMVJ7OB4RWj3,0.555,0.596,9.0,-9.09,0.0,0.375,0.133,0.0,0.12300000000000001,0.145,77.324,136187.0,4.0
Can't Be Broken,Lil Wayne,17.0,0.0,17.0,1.0,1.0,5cGpjfgAvidLy6znwkCxkP,0.58,0.5770000000000001,2.0,-5.997000000000001,0.0,0.2,0.125,0.0,0.086,0.153,99.28299999999999,193243.0,5.0
Closed On Sunday,Kanye West,17.0,0.0,17.0,1.0,1.0,3JWiDGQX2eTlFvKj3Yssj3,0.799,0.29100000000000004,11.0,-7.353,0.0,0.0318,0.873,0.000641,0.139,0.406,97.984,151873.0,4.0
Barbie Dreams,Nicki Minaj,18.0,0.0,18.0,1.0,1.0,6Poyf51k7W3NKnsGwAI90B,0.85,0.787,8.0,-4.1339999999999995,0.0,0.33799999999999997,0.313,0.0,0.19399999999999998,0.7,87.98299999999999,279867.0,4.0
