song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,2021-03-13,90,0,79,2,1
What You Know Bout Love,Pop Smoke,2021-03-13,9,11,9,18,1
Tyler Herro,Jack Harlow,2021-03-13,78,70,61,12,1
Go Crazy,Chris Brown & Young Thug,2021-03-13,5,3,3,18,1
Long Live,Florida Georgia Line,2021-03-13,52,60,45,16,1
Dynamite,BTS,2021-03-13,43,50,5,15,1
AP,Pop Smoke,2021-03-13,64,0,64,2,1
Better Together,Luke Combs,2021-03-13,27,20,15,14,1
Up,Cardi B,2021-03-13,2,2,1,11,1
One Too Many,Keith Urban Duet With P!nk,2021-03-13,75,85,72,15,1
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021-03-13,15,47,12,14,1
Save Your Tears,The Weeknd,2021-03-13,6,6,4,17,1
We're Good,Dua Lipa,2021-03-13,51,49,38,10,1
Glad You Exist,Dan + Shay,2021-03-13,91,93,63,11,1
Momma's House,Dustin Lynch,2021-03-13,67,75,59,15,1
Still Trappin',Lil Durk & King Von,2021-03-13,86,86,53,12,1
Girl Like Me,Black Eyed Peas X Shakira,2021-03-13,69,71,67,14,1
Made For You,Jake Owen,2021-03-13,88,92,42,9,1
Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,2021-03-13,79,72,39,7,1
Forever After All,Luke Combs,2021-03-13,65,68,35,18,1
Masterpiece,DaBaby,2021-03-13,72,76,55,13,1
Sand In My Boots,Morgan Wallen,2021-03-13,68,64,32,11,1
You're Mines Still,Yung Bleu Featuring Drake,2021-03-13,19,19,18,18,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021-03-13,14,15,11,18,1
Anyone,Justin Bieber,2021-03-13,31,33,6,16,1
Goosebumps,Travis Scott & HVME,2021-03-13,58,56,47,14,1
Lonely,Justin Bieber & benny blanco,2021-03-13,41,30,12,11,1
Drivers License,Olivia Rodrigo,2021-03-13,1,1,1,15,1
Monsters,All Time Low Featuring Demi Lovato & blackbear ,2021-03-13,55,55,55,17,1
Damage,H.E.R.,2021-03-13,46,45,44,18,1
Bandido,Myke Towers & Juhn,2021-03-13,82,82,82,7,1
Almost Maybes,Jordan Davis,2021-03-13,84,91,73,13,1
Put Your Records On,Ritt Momney,2021-03-13,30,36,30,16,1
Moonwalking In Calabasas,DDG,2021-03-13,87,83,81,11,1
Whoopty,CJ,2021-03-13,18,14,10,16,1
Nobody,Dylan Scott,2021-03-13,96,0,85,8,1
Bichota,Karol G,2021-03-13,100,92,72,10,1
Good Time,Niko Moon,2021-03-13,20,25,20,14,1
Just The Way,Parmalee x Blanco Brown,2021-03-13,33,35,31,17,1
Time Today,Moneybagg Yo,2021-03-13,50,43,37,11,1
Quicksand,Morray,2021-03-13,83,87,71,11,1
Blinding Lights,The Weeknd,2021-03-13,3,5,3,17,1
Mood,24kGoldn Featuring iann dior,2021-03-13,7,7,1,18,1
Streets,Doja Cat,2021-03-13,26,22,16,15,1
Good Days,SZA,2021-03-13,23,17,9,17,1
Best Friend,Saweetie Featuring Doja Cat,2021-03-13,22,28,14,15,1
Golden,Harry Styles,2021-03-13,59,57,57,12,1
Gone,Dierks Bentley,2021-03-13,99,0,74,6,1
Astronaut In The Ocean,Masked Wolf,2021-03-13,49,62,7,10,1
Lifestyle,Jason Derulo Featuring Adam Levine,2021-03-13,71,74,71,5,1
Drankin N Smokin,Future & Lil Uzi Vert,2021-03-13,94,84,84,10,1
What's Your Country Song,Thomas Rhett,2021-03-13,44,44,29,17,1
Track Star,Mooski,2021-03-13,66,99,35,9,1
Down To One,Luke Bryan,2021-03-13,36,37,36,17,1
Like I Want You,Giveon,2021-03-13,98,100,87,4,1
On Me,Lil Baby,2021-03-13,25,23,23,18,1
You Got It,VEDO,2021-03-20,75,77,75,12,1
Almost Maybes,Jordan Davis,2021-03-20,78,84,73,13,1
Opp Stoppa,YBN Nahmir Featuring 21 Savage,2021-03-20,86,80,78,6,1
One Too Many,Keith Urban Duet With P!nk,2021-03-20,76,75,72,15,1
Streets,Doja Cat,2021-03-20,18,26,16,15,1
You're Mines Still,Yung Bleu Featuring Drake,2021-03-20,21,19,18,18,1
Wasted On You,Morgan Wallen,2021-03-20,64,62,9,15,1
Throat Baby (Go Baby),BRS Kash,2021-03-20,46,28,24,13,1
Telepatia,Kali Uchis,2021-03-20,40,39,39,9,1
Anyone,Justin Bieber,2021-03-20,38,31,6,16,1
Sand In My Boots,Morgan Wallen,2021-03-20,72,68,32,11,1
Wants And Needs,Drake Featuring Lil Baby,2021-03-20,2,0,2,7,1
We're Good,Dua Lipa,2021-03-20,56,51,38,10,1
Save Your Tears,The Weeknd,2021-03-20,7,6,4,17,1
Up,Cardi B,2021-03-20,6,2,1,11,1
AP,Pop Smoke,2021-03-20,99,64,64,2,1
Tyler Herro,Jack Harlow,2021-03-20,94,78,61,12,1
What You Know Bout Love,Pop Smoke,2021-03-20,12,9,9,18,1
What's Next,Drake,2021-03-20,1,0,1,7,1
Astronaut In The Ocean,Masked Wolf,2021-03-20,37,49,7,10,1
Track Star,Mooski,2021-03-20,60,66,35,9,1
What's Your Country Song,Thomas Rhett,2021-03-20,30,44,29,17,1
Real As It Gets,Lil Baby Featuring EST Gee,2021-03-20,34,0,34,6,1
Quicksand,Morray,2021-03-20,79,83,71,11,1
Time Today,Moneybagg Yo,2021-03-20,53,50,37,11,1
Put Your Records On,Ritt Momney,2021-03-20,35,30,30,16,1
Whoopty,CJ,2021-03-20,29,18,10,16,1
34+35,Ariana Grande,2021-03-20,9,4,2,18,1
Willow,Taylor Swift,2021-03-20,42,32,22,18,1
Somebody Like That,Tenille Arts,2021-03-20,71,73,50,14,1
Therefore I Am,Billie Eilish,2021-03-20,17,12,12,18,1
Without You,The Kid LAROI,2021-03-20,44,34,30,18,1
Somebody's Problem,Morgan Wallen,2021-03-20,95,93,26,10,1
The Good Ones,Gabby Barrett,2021-03-20,32,40,19,17,1
Positions,Ariana Grande,2021-03-20,15,11,2,18,1
The Business,Tiesto,2021-03-20,77,81,69,9,1
Starting Over,Chris Stapleton,2021-03-20,41,48,26,18,1
You Broke Me First.,Tate McRae,2021-03-20,20,17,17,18,1
Pick Up Your Feelings,Jazmine Sullivan,2021-03-20,85,95,75,13,1
Still Trappin',Lil Durk & King Von,2021-03-20,92,86,53,12,1
Blinding Lights,The Weeknd,2021-03-20,8,3,3,17,1
Damage,H.E.R.,2021-03-20,50,46,44,18,1
Body,Megan Thee Stallion,2021-03-20,63,56,16,16,1
Forever After All,Luke Combs,2021-03-20,67,65,35,18,1
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-03-20,4,0,1,7,1
Lady,Brett Young,2021-03-20,55,60,52,15,1
Back In Blood,Pooh Shiesty Featuring Lil Durk,2021-03-20,16,13,13,16,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,2021-03-20,28,21,21,18,1
La Noche de Anoche,Bad Bunny & Rosalia,2021-03-20,66,63,58,11,1
Girl Like Me,Black Eyed Peas X Shakira,2021-03-20,70,69,67,14,1
Down To One,Luke Bryan,2021-03-20,48,36,36,17,1
Just The Way,Parmalee x Blanco Brown,2021-03-20,31,33,31,17,1
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021-03-20,25,15,12,14,1
My Head And My Heart,Ava Max,2021-03-20,47,45,45,11,1
Calling My Phone,Lil Tjay Featuring 6LACK,2021-03-20,14,8,3,10,1
Glad You Exist,Dan + Shay,2021-03-20,88,91,63,11,1
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,2021-03-20,54,0,22,7,1
Neighbors,Pooh Shiesty Featuring BIG30,2021-03-20,87,76,51,7,1
Holy,Justin Bieber Featuring Chance The Rapper,2021-03-20,49,29,4,12,1
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-03-20,3,0,3,5,1
No More Parties,Coi Leray Featuring Lil Durk,2021-03-20,39,37,26,11,1
Moonwalking In Calabasas,DDG,2021-03-20,93,87,81,11,1
Levitating,Dua Lipa Featuring DaBaby,2021-03-20,13,10,5,18,1
Dynamite,BTS,2021-03-20,43,43,5,15,1
Momma's House,Dustin Lynch,2021-03-20,62,67,59,15,1
Better Together,Luke Combs,2021-03-20,36,27,15,14,1
Breaking Up Was Easy In The 90's,Sam Hunt,2021-03-20,82,92,49,8,1
Masterpiece,DaBaby,2021-03-20,73,72,55,13,1
Made For You,Jake Owen,2021-03-20,80,88,42,9,1
Dakiti,Bad Bunny & Jhay Cortez,2021-03-20,23,16,16,18,1
Drivers License,Olivia Rodrigo,2021-03-20,5,1,1,15,1
Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,2021-03-20,91,79,39,7,1
Mood,24kGoldn Featuring iann dior,2021-03-20,10,7,1,18,1
Long Live,Florida Georgia Line,2021-03-20,51,52,45,16,1
Buss It,Erica Banks,2021-03-20,61,57,47,13,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021-03-20,24,14,11,18,1
Lil Bit,Nelly & Florida Georgia Line,2021-03-20,100,0,89,5,1
Lifestyle,Jason Derulo Featuring Adam Levine,2021-03-20,81,71,71,5,1
Life's A Mess II,"Juice WRLD, Clever & Post Malone",2021-03-20,97,0,97,1,1
Drankin N Smokin,Future & Lil Uzi Vert,2021-03-20,90,94,84,10,1
Bandido,Myke Towers & Juhn,2021-03-20,83,82,82,7,1
Hold On,Justin Bieber,2021-03-20,26,0,20,7,1
Monsters,All Time Low Featuring Demi Lovato & blackbear ,2021-03-20,59,55,55,17,1
Nobody,Dylan Scott,2021-03-20,89,96,85,8,1
Gone,Dierks Bentley,2021-03-20,98,99,74,6,1
Hellcats & Trackhawks,Lil Durk,2021-03-20,74,0,69,6,1
Good Days,SZA,2021-03-20,19,23,9,17,1
Go Crazy,Chris Brown & Young Thug,2021-03-20,11,5,3,18,1
On Me,Lil Baby,2021-03-20,27,25,23,18,1
Goosebumps,Travis Scott & HVME,2021-03-20,58,58,47,14,1
Best Friend,Saweetie Featuring Doja Cat,2021-03-20,22,22,14,15,1
Cover Me Up,Morgan Wallen,2021-03-20,96,97,52,9,1
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,2021-03-20,84,85,84,6,1
Good Time,Niko Moon,2021-03-20,33,20,20,14,1
Beers And Sunshine,Darius Rucker,2021-03-20,69,53,42,13,1
Golden,Harry Styles,2021-03-20,65,59,57,12,1
Cry Baby,Megan Thee Stallion Featuring DaBaby,2021-03-20,45,42,28,18,1
Heartbreak Anniversary,Giveon,2021-03-20,52,54,20,10,1
Hell Of A View,Eric Church,2021-03-20,68,70,41,15,1
Heat Waves,Glass Animals,2021-03-20,57,61,39,14,1
Baila Conmigo,Selena Gomez With Rauw Alejandro,2021-03-27,84,74,74,2,1
Heartbreak Anniversary,Giveon,2021-03-27,30,52,20,10,1
Like I Want You,Giveon,2021-03-27,87,98,87,4,1
Lil Bit,Nelly & Florida Georgia Line,2021-03-27,99,100,89,5,1
Long Live,Florida Georgia Line,2021-03-27,49,51,45,16,1
Good Days,SZA,2021-03-27,27,19,9,17,1
Follow You,Imagine Dragons,2021-03-27,83,0,83,3,1
Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,2021-03-27,97,91,39,7,1
Goosebumps,Travis Scott & HVME,2021-03-27,57,58,47,14,1
Track Star,Mooski,2021-03-27,55,60,35,9,1
Therefore I Am,Billie Eilish,2021-03-27,15,17,12,18,1
Hold On,Justin Bieber,2021-03-27,59,26,20,7,1
Settling Down,Miranda Lambert,2021-03-27,90,0,65,6,1
Better Together,Luke Combs,2021-03-27,44,36,15,14,1
Momma's House,Dustin Lynch,2021-03-27,65,62,59,15,1
Cry Baby,Megan Thee Stallion Featuring DaBaby,2021-03-27,42,45,28,18,1
Dynamite,BTS,2021-03-27,34,43,5,15,1
Sand In My Boots,Morgan Wallen,2021-03-27,80,72,32,11,1
Anyone,Justin Bieber,2021-03-27,37,38,6,16,1
Time Today,Moneybagg Yo,2021-03-27,51,53,37,11,1
Masterpiece,DaBaby,2021-03-27,71,73,55,13,1
You Got It,VEDO,2021-03-27,78,75,75,12,1
Made For You,Jake Owen,2021-03-27,77,80,42,9,1
Good Time,Niko Moon,2021-03-27,41,33,20,14,1
Dakiti,Bad Bunny & Jhay Cortez,2021-03-27,22,23,16,18,1
Lost,NF Featuring Hopsin,2021-03-27,79,0,79,1,1
Save Your Tears,The Weeknd,2021-03-27,5,7,4,17,1
Throat Baby (Go Baby),BRS Kash,2021-03-27,50,46,24,13,1
We're Good,Dua Lipa,2021-03-27,52,56,38,10,1
Buss It,Erica Banks,2021-03-27,62,61,47,13,1
Somebody Like That,Tenille Arts,2021-03-27,67,71,50,14,1
Levitating,Dua Lipa Featuring DaBaby,2021-03-27,7,13,5,18,1
Hellcats & Trackhawks,Lil Durk,2021-03-27,94,74,69,6,1
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021-03-27,20,25,12,14,1
Still Trappin',Lil Durk & King Von,2021-03-27,96,92,53,12,1
Street Runner,Rod Wave,2021-03-27,36,0,16,6,1
Undivided,Tim McGraw & Tyler Hubbard,2021-03-27,100,76,76,2,1
The Business,Tiesto,2021-03-27,69,77,69,9,1
Calling My Phone,Lil Tjay Featuring 6LACK,2021-03-27,13,14,3,10,1
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,2021-03-27,47,54,22,7,1
Glad You Exist,Dan + Shay,2021-03-27,86,88,63,11,1
Damage,H.E.R.,2021-03-27,48,50,44,18,1
Streets,Doja Cat,2021-03-27,16,18,16,15,1
Without You,The Kid LAROI,2021-03-27,40,44,30,18,1
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,2021-03-27,89,84,84,6,1
Almost Maybes,Jordan Davis,2021-03-27,73,78,73,13,1
Up,Cardi B,2021-03-27,1,6,1,11,1
Just The Way,Parmalee x Blanco Brown,2021-03-27,38,31,31,17,1
What You Know Bout Love,Pop Smoke,2021-03-27,12,12,9,18,1
Go Crazy,Chris Brown & Young Thug,2021-03-27,11,11,3,18,1
Wants And Needs,Drake Featuring Lil Baby,2021-03-27,10,2,2,7,1
Bandido,Myke Towers & Juhn,2021-03-27,91,83,82,7,1
Telepatia,Kali Uchis,2021-03-27,43,40,39,9,1
Wasted On You,Morgan Wallen,2021-03-27,66,64,9,15,1
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-03-27,31,3,3,5,1
Heat Waves,Glass Animals,2021-03-27,56,57,39,14,1
Best Friend,Saweetie Featuring Doja Cat,2021-03-27,21,22,14,15,1
Forever After All,Luke Combs,2021-03-27,61,67,35,18,1
Gone,Dierks Bentley,2021-03-27,98,98,74,6,1
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-03-27,2,4,1,7,1
Lady,Brett Young,2021-03-27,54,55,52,15,1
Beers And Sunshine,Darius Rucker,2021-03-27,81,69,42,13,1
You Broke Me First.,Tate McRae,2021-03-27,19,20,17,18,1
Starting Over,Chris Stapleton,2021-03-27,35,41,26,18,1
La Noche de Anoche,Bad Bunny & Rosalia,2021-03-27,68,66,58,11,1
Hell Of A View,Eric Church,2021-03-27,63,68,41,15,1
On The Ground,ROSE,2021-03-27,70,0,70,1,1
The Good Ones,Gabby Barrett,2021-03-27,33,32,19,17,1
Girl Like Me,Black Eyed Peas X Shakira,2021-03-27,72,70,67,14,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021-03-27,24,24,11,18,1
34+35,Ariana Grande,2021-03-27,9,9,2,18,1
Put Your Records On,Ritt Momney,2021-03-27,32,35,30,16,1
Pick Up Your Feelings,Jazmine Sullivan,2021-03-27,75,85,75,13,1
Blinding Lights,The Weeknd,2021-03-27,6,8,3,17,1
You're Mines Still,Yung Bleu Featuring Drake,2021-03-27,18,21,18,18,1
Drivers License,Olivia Rodrigo,2021-03-27,3,5,1,15,1
Real As It Gets,Lil Baby Featuring EST Gee,2021-03-27,58,34,34,6,1
Back In Blood,Pooh Shiesty Featuring Lil Durk,2021-03-27,14,16,13,16,1
Nobody,Dylan Scott,2021-03-27,85,89,85,8,1
Positions,Ariana Grande,2021-03-27,17,15,2,18,1
On Me,Lil Baby,2021-03-27,23,27,23,18,1
My Head And My Heart,Ava Max,2021-03-27,46,47,45,11,1
No More Parties,Coi Leray Featuring Lil Durk,2021-03-27,26,39,26,11,1
What's Your Country Song,Thomas Rhett,2021-03-27,29,30,29,17,1
Breaking Up Was Easy In The 90's,Sam Hunt,2021-03-27,76,82,49,8,1
What's Next,Drake,2021-03-27,4,1,1,7,1
Drankin N Smokin,Future & Lil Uzi Vert,2021-03-27,93,90,84,10,1
Opp Stoppa,YBN Nahmir Featuring 21 Savage,2021-03-27,95,86,78,6,1
One Too Many,Keith Urban Duet With P!nk,2021-03-27,82,76,72,15,1
Down To One,Luke Bryan,2021-03-27,53,48,36,17,1
Neighbors,Pooh Shiesty Featuring BIG30,2021-03-27,92,87,51,7,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,2021-03-27,28,28,21,18,1
Whoopty,CJ,2021-03-27,45,29,10,16,1
Quicksand,Morray,2021-03-27,74,79,71,11,1
Mood,24kGoldn Featuring iann dior,2021-03-27,8,10,1,18,1
Monsters,All Time Low Featuring Demi Lovato & blackbear ,2021-03-27,60,59,55,17,1
Willow,Taylor Swift,2021-03-27,39,42,22,18,1
Astronaut In The Ocean,Masked Wolf,2021-03-27,25,37,7,10,1
Body,Megan Thee Stallion,2021-03-27,64,63,16,16,1
Daywalker!,Machine Gun Kelly & CORPSE,2021-03-27,88,0,88,1,1
Telepatia,Kali Uchis,2021-04-03,44,43,39,9,1
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-04-03,56,31,3,5,1
Up,Cardi B,2021-04-03,2,1,1,11,1
Somebody Like That,Tenille Arts,2021-04-03,67,67,50,14,1
Wasted On You,Morgan Wallen,2021-04-03,77,66,9,15,1
Girl Like Me,Black Eyed Peas X Shakira,2021-04-03,89,72,67,14,1
Put Your Records On,Ritt Momney,2021-04-03,39,32,30,16,1
Positions,Ariana Grande,2021-04-03,21,17,2,18,1
What's Your Country Song,Thomas Rhett,2021-04-03,35,29,29,17,1
Levitating,Dua Lipa Featuring DaBaby,2021-04-03,7,7,5,18,1
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-04-03,1,0,1,5,1
Somebody,Justin Bieber,2021-04-03,91,0,91,1,1
34+35,Ariana Grande,2021-04-03,11,9,2,18,1
Heat Waves,Glass Animals,2021-04-03,57,56,39,14,1
Deserve You,Justin Bieber,2021-04-03,76,0,76,1,1
Bandido,Myke Towers & Juhn,2021-04-03,98,91,82,7,1
Whoopty,CJ,2021-04-03,38,45,10,16,1
The Business,Tiesto,2021-04-03,75,69,69,9,1
Almost Maybes,Jordan Davis,2021-04-03,86,73,73,13,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,2021-04-03,31,28,21,18,1
Wants And Needs,Drake Featuring Lil Baby,2021-04-03,19,10,2,7,1
You're Mines Still,Yung Bleu Featuring Drake,2021-04-03,18,18,18,18,1
La Noche de Anoche,Bad Bunny & Rosalia,2021-04-03,73,68,58,11,1
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,2021-04-03,92,89,84,6,1
Best Friend,Saweetie Featuring Doja Cat,2021-04-03,24,21,14,15,1
Pick Up Your Feelings,Jazmine Sullivan,2021-04-03,83,75,75,13,1
Buss It,Erica Banks,2021-04-03,72,62,47,13,1
Blinding Lights,The Weeknd,2021-04-03,6,6,3,17,1
Cry Baby,Megan Thee Stallion Featuring DaBaby,2021-04-03,45,42,28,18,1
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021-04-03,23,20,12,14,1
Starting Over,Chris Stapleton,2021-04-03,41,35,26,18,1
Ghost,Justin Bieber,2021-04-03,66,0,66,1,1
Down To One,Luke Bryan,2021-04-03,60,53,36,17,1
Back In Blood,Pooh Shiesty Featuring Lil Durk,2021-04-03,13,14,13,16,1
Lady,Brett Young,2021-04-03,52,54,52,15,1
Without You,The Kid LAROI,2021-04-03,36,40,30,18,1
Go Crazy,Chris Brown & Young Thug,2021-04-03,12,11,3,18,1
You Broke Me First.,Tate McRae,2021-04-03,22,19,17,18,1
Hell Of A View,Eric Church,2021-04-03,65,63,41,15,1
Nobody,Dylan Scott,2021-04-03,93,85,85,8,1
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-04-03,3,2,1,7,1
Street Runner,Rod Wave,2021-04-03,32,36,16,6,1
The Good Ones,Gabby Barrett,2021-04-03,37,33,19,17,1
Forever After All,Luke Combs,2021-04-03,61,61,35,18,1
Heartbreak Anniversary,Giveon,2021-04-03,29,30,20,10,1
Mood,24kGoldn Featuring iann dior,2021-04-03,10,8,1,18,1
On Me,Lil Baby,2021-04-03,25,23,23,18,1
Hold On,Justin Bieber,2021-04-03,20,59,20,7,1
Made For You,Jake Owen,2021-04-03,78,77,42,9,1
Goosebumps,Travis Scott & HVME,2021-04-03,59,57,47,14,1
Glad You Exist,Dan + Shay,2021-04-03,85,86,63,11,1
Famous Friends,Chris Young + Kane Brown,2021-04-03,94,0,73,4,1
2 Much,Justin Bieber,2021-04-03,68,0,68,1,1
Masterpiece,DaBaby,2021-04-03,74,71,55,13,1
Good Time,Niko Moon,2021-04-03,49,41,20,14,1
What's Next,Drake,2021-04-03,8,4,1,7,1
Calling My Phone,Lil Tjay Featuring 6LACK,2021-04-03,14,13,3,10,1
You Got It,VEDO,2021-04-03,88,78,75,12,1
Loved By You,Justin Bieber Featuring Burna Boy,2021-04-03,87,0,87,1,1
One Too Many,Keith Urban Duet With P!nk,2021-04-03,90,82,72,15,1
As I Am,Justin Bieber Featuring Khalid,2021-04-03,43,0,43,3,1
Dynamite,BTS,2021-04-03,26,34,5,15,1
Good Days,SZA,2021-04-03,34,27,9,17,1
Momma's House,Dustin Lynch,2021-04-03,63,65,59,15,1
Time Today,Moneybagg Yo,2021-04-03,55,51,37,11,1
Monsters,All Time Low Featuring Demi Lovato & blackbear ,2021-04-03,70,60,55,17,1
Anyone,Justin Bieber,2021-04-03,16,37,6,16,1
Better Together,Luke Combs,2021-04-03,47,44,15,14,1
Dakiti,Bad Bunny & Jhay Cortez,2021-04-03,28,22,16,18,1
Neighbors,Pooh Shiesty Featuring BIG30,2021-04-03,97,92,51,7,1
What You Know Bout Love,Pop Smoke,2021-04-03,9,12,9,18,1
Damage,H.E.R.,2021-04-03,58,48,44,18,1
Sand In My Boots,Morgan Wallen,2021-04-03,96,80,32,11,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021-04-03,33,24,11,18,1
Just The Way,Parmalee x Blanco Brown,2021-04-03,46,38,31,17,1
Streets,Doja Cat,2021-04-03,27,16,16,15,1
Quicksand,Morray,2021-04-03,80,74,71,11,1
Unstable,Justin Bieber Featuring The Kid LAROI,2021-04-03,62,0,62,1,1
Tombstone,Rod Wave,2021-04-03,82,0,11,5,1
Drankin N Smokin,Future & Lil Uzi Vert,2021-04-03,99,93,84,10,1
Body,Megan Thee Stallion,2021-04-03,71,64,16,16,1
Therefore I Am,Billie Eilish,2021-04-03,15,15,12,18,1
My Head And My Heart,Ava Max,2021-04-03,48,46,45,11,1
Long Live,Florida Georgia Line,2021-04-03,54,49,45,16,1
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,2021-04-03,40,47,22,7,1
Real As It Gets,Lil Baby Featuring EST Gee,2021-04-03,69,58,34,6,1
No More Parties,Coi Leray Featuring Lil Durk,2021-04-03,30,26,26,11,1
Track Star,Mooski,2021-04-03,53,55,35,9,1
Love You Different,Justin Bieber Featuring BEAM,2021-04-03,84,0,84,1,1
Off My Face,Justin Bieber,2021-04-03,64,0,64,1,1
We're Good,Dua Lipa,2021-04-03,51,52,38,10,1
Headshot,"Lil Tjay, Polo G & Fivio Foreign",2021-04-03,42,0,42,5,1
Beers And Sunshine,Darius Rucker,2021-04-03,100,81,42,13,1
Settling Down,Miranda Lambert,2021-04-03,95,90,65,6,1
Astronaut In The Ocean,Masked Wolf,2021-04-03,17,25,7,10,1
Breaking Up Was Easy In The 90's,Sam Hunt,2021-04-03,79,76,49,8,1
Die For You,Justin Bieber Featuring Dominic Fike,2021-04-03,81,0,81,1,1
Willow,Taylor Swift,2021-04-03,50,39,22,18,1
Save Your Tears,The Weeknd,2021-04-03,5,5,4,17,1
Drivers License,Olivia Rodrigo,2021-04-03,4,3,1,15,1
Telepatia,Kali Uchis,2021-04-10,53,44,39,9,1
Hold On,Justin Bieber,2021-04-10,46,20,20,7,1
Glad You Exist,Dan + Shay,2021-04-10,92,85,63,11,1
No More Parties,Coi Leray Featuring Lil Durk,2021-04-10,39,30,26,11,1
Pills & Billz,Rod Wave,2021-04-10,85,0,85,1,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,2021-04-10,29,31,21,18,1
Pick Up Your Feelings,Jazmine Sullivan,2021-04-10,84,83,75,13,1
Damage,H.E.R.,2021-04-10,64,58,44,18,1
Good Days,SZA,2021-04-10,40,34,9,17,1
Time Today,Moneybagg Yo,2021-04-10,58,55,37,11,1
One Too Many,Keith Urban Duet With P!nk,2021-04-10,95,90,72,15,1
Big Purr (Prrdd),Coi Leray & Pooh Shiesty,2021-04-10,69,0,69,3,1
On Me,Lil Baby,2021-04-10,26,25,23,18,1
Goosebumps,Travis Scott & HVME,2021-04-10,56,59,47,14,1
Clouds,NF,2021-04-10,93,53,53,2,1
Hard For The Next,Moneybagg Yo & Future,2021-04-10,49,0,49,2,1
Gone Till November,Rod Wave,2021-04-10,61,0,61,1,1
Headshot,"Lil Tjay, Polo G & Fivio Foreign",2021-04-10,68,42,42,5,1
Track Star,Mooski,2021-04-10,47,53,35,9,1
You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris,2021-04-10,51,0,51,2,1
Therefore I Am,Billie Eilish,2021-04-10,19,15,12,18,1
OMDB,Rod Wave,2021-04-10,89,0,89,1,1
Heartbreak Anniversary,Giveon,2021-04-10,28,29,20,10,1
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-04-10,2,1,1,5,1
Heat Waves,Glass Animals,2021-04-10,50,57,39,14,1
Whoopty,CJ,2021-04-10,38,38,10,16,1
Without You,The Kid LAROI,2021-04-10,31,36,30,18,1
Go Crazy,Chris Brown & Young Thug,2021-04-10,15,12,3,18,1
The Good Ones,Gabby Barrett,2021-04-10,32,37,19,17,1
Blame On You,Rod Wave,2021-04-10,65,0,65,1,1
Nobody,Dylan Scott,2021-04-10,99,93,85,8,1
Hell Of A View,Eric Church,2021-04-10,67,65,41,15,1
You're Mines Still,Yung Bleu Featuring Drake,2021-04-10,23,18,18,18,1
All I Got,Rod Wave,2021-04-10,71,0,71,1,1
Hellcats & Trackhawks,Lil Durk,2021-04-10,76,94,69,6,1
Best Friend,Saweetie Featuring Doja Cat,2021-04-10,17,24,14,15,1
The Business,Tiesto,2021-04-10,86,75,69,9,1
Up,Cardi B,2021-04-10,4,2,1,11,1
Tombstone,Rod Wave,2021-04-10,11,82,11,5,1
Calling My Phone,Lil Tjay Featuring 6LACK,2021-04-10,18,14,3,10,1
Breaking Up Was Easy In The 90's,Sam Hunt,2021-04-10,73,79,49,8,1
SoulFly,Rod Wave,2021-04-10,55,0,55,1,1
Down To One,Luke Bryan,2021-04-10,74,60,36,17,1
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-04-10,3,3,1,7,1
Dynamite,BTS,2021-04-10,30,26,5,15,1
Masterpiece,DaBaby,2021-04-10,77,74,55,13,1
Montero (Call Me By Your Name),Lil Nas X,2021-04-10,1,0,1,4,1
