song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Arcade,Duncan Laurence,2021-05-01,94,100,94,2,1,1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624,3
Astronaut In The Ocean,Masked Wolf,2021-05-01,7,10,7,10,1,3Ofmpyhv5UAQ70mENzB277,spotify:track:3Ofmpyhv5UAQ70mENzB277,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,132780,4
Backdoor,Lil Durk,2021-02-13,95,74,62,4,1,1MUsTqcuOaBeMnEL73K4fS,spotify:track:1MUsTqcuOaBeMnEL73K4fS,0.665,0.549,4,-7.597,0,0.311,0.107,3.51e-06,0.27,0.229,82.069,200000,4
Bang!,AJR,2021-03-13,35,31,8,11,1,53BHUFdQphHiZUUG3nx9zn,spotify:track:53BHUFdQphHiZUUG3nx9zn,0.74,0.516,1,-6.233,0,0.0507,0.0183,0.0,0.0558,0.698,139.918,170858,4
Beers And Sunshine,Darius Rucker,2021-04-03,100,81,42,13,1,36ISlLb12gKuCCVTYXC0gb,spotify:track:36ISlLb12gKuCCVTYXC0gb,0.57,0.645,5,-5.816,1,0.0304,0.134,0.0,0.147,0.677,81.084,178279,4
Before You Go,Lewis Capaldi,2021-02-27,33,32,24,8,1,2gMXnyrvIjhVBUZwvLZDMP,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
Better Together,Luke Combs,2021-04-03,47,44,15,14,1,6gdLyYNuhWBzqwlOFSsXC7,spotify:track:6gdLyYNuhWBzqwlOFSsXC7,0.552,0.225,0,-11.501,1,0.0477,0.827,0.0,0.111,0.67,138.002,219573,4
Big Gangsta,Kevin Gates,2021-05-01,87,81,81,2,1,2HYvkdq6lpFXkVz9Tfqi8r,spotify:track:2HYvkdq6lpFXkVz9Tfqi8r,0.879,0.574,10,-5.602,0,0.391,0.519,8.76e-06,0.144,0.346,144.911,243463,4
"Big, Big Plans",Chris Lane,2021-02-27,89,86,49,9,1,7yNJCsUH3tXlpQiHSsAc5l,spotify:track:7yNJCsUH3tXlpQiHSsAc5l,0.574,0.58,7,-6.091,1,0.0278,0.076,0.0,0.12,0.4,149.974,187307,4
Blame On You,Rod Wave,2021-04-10,65,0,65,1,1,2wv6Kof28CpUCVkSuATXW9,spotify:track:2wv6Kof28CpUCVkSuATXW9,0.697,0.684,1,-7.272,0,0.187,0.264,0.0,0.0398,0.712,161.922,165926,4
Blinding Lights,The Weeknd,2021-05-01,13,11,3,17,1,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
Blue Christmas,Elvis Presley,2021-01-02,33,0,33,1,1,3QiAAp20rPC3dcAtKtMaqQ,spotify:track:3QiAAp20rPC3dcAtKtMaqQ,0.465,0.27,4,-16.661,1,0.0425,0.9,0.00104,0.145,0.58,94.518,129173,4
Body,Megan Thee Stallion,2021-04-17,84,81,16,16,1,0A1hoCfMLkiAgvhWkkucJa,spotify:track:0A1hoCfMLkiAgvhWkkucJa,0.914,0.732,8,-6.1,0,0.241,0.0166,0.0,0.107,0.469,94.066,171067,4
Breaking Up Was Easy In The 90's,Sam Hunt,2021-05-01,49,67,49,8,1,4sf2L157iEgAR7yrCNLgSq,spotify:track:4sf2L157iEgAR7yrCNLgSq,0.562,0.649,9,-5.4,1,0.0494,0.231,0.0,0.341,0.376,145.913,215933,4
Buss It,Erica Banks,2021-04-17,99,87,47,13,1,25j0Sape7qZbq6ZPLFefTT,spotify:track:25j0Sape7qZbq6ZPLFefTT,0.956,0.502,9,-5.995,1,0.213,0.0593,0.0,0.238,0.795,110.003,187000,4
Christmas (Baby Please Come Home),Darlene Love,2021-01-02,19,37,19,1,1,46pF1zFimM582ss1PrMy68,spotify:track:46pF1zFimM582ss1PrMy68,0.325,0.759,8,-7.146,1,0.053,0.395,0.000362,0.0773,0.36,126.627,166453,4
Cover Me Up,Morgan Wallen,2021-03-20,96,97,52,9,1,0mKnuxVkPi5h0kuvZl44VM,spotify:track:0mKnuxVkPi5h0kuvZl44VM,0.549,0.44,7,-8.192,1,0.0264,0.232,7.37e-06,0.107,0.214,128.01,293707,3
Damage,H.E.R.,2021-05-01,61,68,44,18,1,0KS2h61pHQ4WmOwruD7uxD,spotify:track:0KS2h61pHQ4WmOwruD7uxD,0.646,0.696,1,-6.505,1,0.065,0.113,0.0,0.115,0.18,81.336,223415,4
Dancing With The Devil,Demi Lovato,2021-04-24,98,56,56,2,1,2kONpeXXK70YEs7c0UQbmq,spotify:track:2kONpeXXK70YEs7c0UQbmq,0.413,0.64,8,-5.811,1,0.0427,0.273,0.0,0.11,0.149,75.245,243992,4
Dangerous,Morgan Wallen,2021-02-20,90,98,62,4,1,1MX19fnaW1OUQoglWTYaOo,spotify:track:1MX19fnaW1OUQoglWTYaOo,0.635,0.772,7,-4.825,1,0.0279,0.216,0.0,0.285,0.948,119.017,147893,4
De Una Vez,Selena Gomez,2021-01-30,92,0,92,1,1,1v3lhrZEsOcazqR2QIyyRu,spotify:track:1v3lhrZEsOcazqR2QIyyRu,0.659,0.479,11,-6.79,0,0.2,0.152,0.0025,0.268,0.0395,163.882,155956,4
Death Ain't Easy,Lil Durk,2021-01-09,93,0,93,1,1,6Op06b1puMDN89u3o224CQ,spotify:track:6Op06b1puMDN89u3o224CQ,0.793,0.549,1,-9.96,1,0.285,0.042,0.0,0.118,0.55,90.014,192052,4
Deserve You,Justin Bieber,2021-04-03,76,0,76,1,1,5NU40QTlXrDUJzDBdv79bg,spotify:track:5NU40QTlXrDUJzDBdv79bg,0.677,0.633,7,-7.831,1,0.0771,0.0314,0.0,0.112,0.409,89.934,187239,4
Diamonds,Sam Smith,2021-02-13,59,49,39,7,1,5hvwx5i67IwnCkjl9VHkNv,spotify:track:5hvwx5i67IwnCkjl9VHkNv,0.653,0.667,10,-6.764,0,0.0423,0.154,0.0,0.107,0.556,104.181,213869,4
Don't Forget,Rod Wave,2021-04-10,63,0,63,1,1,6aCC0TK1IJPALdwniMbok3,spotify:track:6aCC0TK1IJPALdwniMbok3,0.662,0.641,3,-5.013,0,0.21,0.498,0.0,0.315,0.882,172.93,249579,4
Down To One,Luke Bryan,2021-05-01,69,61,36,17,1,6QpZSfLid1YZ6c01BvB5jH,spotify:track:6QpZSfLid1YZ6c01BvB5jH,0.62,0.776,8,-4.109,1,0.0365,0.358,4.31e-05,0.11,0.551,93.963,221633,4
Dynamite,BTS,2021-04-10,30,26,5,15,1,4saklk6nie3yiGePpBwUoc,spotify:track:4saklk6nie3yiGePpBwUoc,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4
Everywhere But On,Matt Stell,2021-01-16,96,0,96,1,1,0ifYeH4gNXEyba41xr3I1w,spotify:track:0ifYeH4gNXEyba41xr3I1w,0.563,0.722,6,-3.972,1,0.0279,0.0345,0.0,0.0795,0.309,149.903,192587,4
Fake Woke,Tom MacDonald,2021-02-13,96,0,96,1,1,22N2WWWq3pGweYgP5o5q7w,spotify:track:22N2WWWq3pGweYgP5o5q7w,0.661,0.603,8,-6.805,1,0.133,0.0971,0.0,0.127,0.158,89.94,252000,4
Follow You,Imagine Dragons,2021-05-01,84,96,83,3,1,7FdUvDkaE24o3FPIWTvzv2,spotify:track:7FdUvDkaE24o3FPIWTvzv2,0.542,0.732,9,-5.956,1,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,175644,4
Forever After All,Luke Combs,2021-05-01,35,44,35,18,1,6IBcOGPsniK3Pso1wHIhew,spotify:track:6IBcOGPsniK3Pso1wHIhew,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4
GNF (OKOKOK),Polo G,2021-02-20,55,0,55,1,1,1A8990rtwHQ417l3yADe5t,spotify:track:1A8990rtwHQ417l3yADe5t,0.753,0.659,8,-9.671,1,0.416,0.659,0.0,0.098,0.459,146.022,116256,4
Ghost,Justin Bieber,2021-04-03,66,0,66,1,1,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4
