song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Made For You,Jake Owen,2021-05-01,42,43,42,9,1,7vF3xkCMvZjAe2nTWY0uQZ,spotify:track:7vF3xkCMvZjAe2nTWY0uQZ,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125,238400,4
Masterpiece,DaBaby,2021-05-01,80,82,55,13,1,26UxwWl9xCb83OynXELJcL,spotify:track:26UxwWl9xCb83OynXELJcL,0.781,0.726,0,-4.213,1,0.0836,0.0299,0.0,0.093,0.436,139.988,181714,4
Midnight Sky,Miley Cyrus,2021-01-23,98,71,71,3,1,27ycaQnQAxaPiyeg3nr2aB,spotify:track:27ycaQnQAxaPiyeg3nr2aB,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279,4
More Surprised Than Me,Morgan Wallen,2021-01-23,66,0,66,1,1,5NhcE6cuJjVYyVEKp97zOt,spotify:track:5NhcE6cuJjVYyVEKp97zOt,0.516,0.748,6,-6.049,1,0.0289,0.241,0.0,0.123,0.433,85.004,157440,4
More Than My Hometown,Morgan Wallen,2021-02-13,38,30,16,6,1,5OELUCYgOHKFAvCERnAvfS,spotify:track:5OELUCYgOHKFAvCERnAvfS,0.62,0.869,6,-5.479,1,0.0462,0.615,0.0,0.131,0.597,126.019,216573,4
Neon Eyes,Morgan Wallen,2021-01-23,63,0,63,1,1,3kOi5KZTcCOdqFlUjF9CDZ,spotify:track:3kOi5KZTcCOdqFlUjF9CDZ,0.576,0.843,11,-5.26,0,0.029,0.0214,8.04e-05,0.157,0.628,126.009,226147,4
New N3on,Playboi Carti,2021-01-09,92,0,92,1,1,7ejepEh5DJ79YI6owGRfkk,spotify:track:7ejepEh5DJ79YI6owGRfkk,0.888,0.833,6,-6.546,0,0.0737,0.0631,0.0,0.106,0.948,130.054,116361,4
Nobody,Dylan Scott,2021-05-01,86,91,85,8,1,5TWAIHYaOnYg4txfmCgon5,spotify:track:5TWAIHYaOnYg4txfmCgon5,0.573,0.747,0,-6.46,1,0.0319,0.519,1.13e-06,0.0867,0.645,79.952,160707,4
OMDB,Rod Wave,2021-04-10,89,0,89,1,1,0KBa4BiUHxQNrqsaDZzUG7,spotify:track:0KBa4BiUHxQNrqsaDZzUG7,0.522,0.523,1,-9.325,1,0.0538,0.183,0.0,0.122,0.184,82.408,185074,4
Off My Face,Justin Bieber,2021-04-03,64,0,64,1,1,3T03rPwlL8NVk1yIaxeD8U,spotify:track:3T03rPwlL8NVk1yIaxeD8U,0.509,0.228,4,-8.68,1,0.0332,0.92,0.0,0.104,0.586,90.674,156468,4
