,song,performer,date,chart_position,previous_position,peak,weeks_on_chart,instance,songID,url
37,Money In The Grave,Drake Featuring Rick Ross,2019-06-29,7,0,7,1,1,Money In The GraveDrake Featuring Rick Ross,https://www.billboard.com/charts/hot-100/2019-06-29
38,Follow God,Kanye West,2019-11-09,7,0,7,1,1,Follow GodKanye West,https://www.billboard.com/charts/hot-100/2019-11-09
39,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-04-21,8,0,8,1,1,"I Like ItCardi B, Bad Bunny & J Balvin",https://www.billboard.com/charts/hot-100/2018-04-21
40,Kevin's Heart,J. Cole,2018-05-05,8,0,8,1,1,Kevin's HeartJ. Cole,https://www.billboard.com/charts/hot-100/2018-05-05
41,Emotionless,Drake,2018-07-14,8,0,8,1,1,EmotionlessDrake,https://www.billboard.com/charts/hot-100/2018-07-14
42,Filthy,Justin Timberlake,2018-01-20,9,0,9,1,1,FilthyJustin Timberlake,https://www.billboard.com/charts/hot-100/2018-01-20
43,Freaky Friday,Lil Dicky Featuring Chris Brown,2018-03-31,9,0,9,1,1,Freaky FridayLil Dicky Featuring Chris Brown,https://www.billboard.com/charts/hot-100/2018-03-31
44,No Guidance,Chris Brown Featuring Drake,2019-06-22,9,0,9,1,1,No GuidanceChris Brown Featuring Drake,https://www.billboard.com/charts/hot-100/2019-06-22
45,KOD,J. Cole,2018-05-05,10,0,10,1,1,KODJ. Cole,https://www.billboard.com/charts/hot-100/2018-05-05
46,Fake Love,BTS,2018-06-02,10,0,10,1,1,Fake LoveBTS,https://www.billboard.com/charts/hot-100/2018-06-02
47,Let It Fly,Lil Wayne Featuring Travis Scott,2018-10-13,10,0,10,1,1,Let It FlyLil Wayne Featuring Travis Scott,https://www.billboard.com/charts/hot-100/2018-10-13
48,God Is A Woman,Ariana Grande,2018-07-28,11,0,11,1,1,God Is A WomanAriana Grande,https://www.billboard.com/charts/hot-100/2018-07-28
49,IDOL,BTS Featuring Nicki Minaj,2018-09-08,11,0,11,1,1,IDOLBTS Featuring Nicki Minaj,https://www.billboard.com/charts/hot-100/2018-09-08
50,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-08-24,11,0,11,1,1,"Hot Girl SummerMegan Thee Stallion, Nicki Minaj & Ty Dolla $ign",https://www.billboard.com/charts/hot-100/2019-08-24
51,Fall,Eminem,2018-09-15,12,0,12,1,1,FallEminem,https://www.billboard.com/charts/hot-100/2018-09-15
52,Mob Ties,Drake,2018-07-14,13,0,13,1,1,Mob TiesDrake,https://www.billboard.com/charts/hot-100/2018-07-14
53,Earfquake,"Tyler, The Creator",2019-06-01,13,0,13,1,1,"EarfquakeTyler, The Creator",https://www.billboard.com/charts/hot-100/2019-06-01
54,Elevate,Drake,2018-07-14,14,0,14,1,1,ElevateDrake,https://www.billboard.com/charts/hot-100/2018-07-14
55,Needy,Ariana Grande,2019-02-23,14,0,14,1,1,NeedyAriana Grande,https://www.billboard.com/charts/hot-100/2019-02-23
56,Motiv8,J. Cole,2018-05-05,15,0,15,1,1,Motiv8J. Cole,https://www.billboard.com/charts/hot-100/2018-05-05
