,song,performer,date,chart_position,previous_position,peak,weeks_on_chart,instance,songID,url
3688,In My Blood,Shawn Mendes,2018-05-26,20,27,20,9,1,In My BloodShawn Mendes,https://www.billboard.com/charts/hot-100/2018-05-26
3689,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-03-24,21,23,21,9,1,"King's DeadJay Rock, Kendrick Lamar, Future & James Blake",https://www.billboard.com/charts/hot-100/2018-03-24
3690,My Type,Saweetie,2019-09-07,21,35,21,9,1,My TypeSaweetie,https://www.billboard.com/charts/hot-100/2019-09-07
3691,MIA,Bad Bunny Featuring Drake,2018-12-22,26,25,5,9,1,MIABad Bunny Featuring Drake,https://www.billboard.com/charts/hot-100/2018-12-22
3692,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-01-06,26,28,26,9,1,Meant To BeBebe Rexha & Florida Georgia Line,https://www.billboard.com/charts/hot-100/2018-01-06
3693,On Chill,Wale Featuring Jeremih,2019-10-19,27,23,23,9,1,On ChillWale Featuring Jeremih,https://www.billboard.com/charts/hot-100/2019-10-19
3694,Eastside,"Benny Blanco, Halsey & Khalid",2018-09-22,28,34,28,9,1,"EastsideBenny Blanco, Halsey & Khalid",https://www.billboard.com/charts/hot-100/2018-09-22
3695,Never Really Over,Katy Perry,2019-08-10,29,32,15,9,1,Never Really OverKaty Perry,https://www.billboard.com/charts/hot-100/2019-08-10
3696,How Do You Sleep?,Sam Smith,2019-09-28,29,39,29,9,1,How Do You Sleep?Sam Smith,https://www.billboard.com/charts/hot-100/2019-09-28
3697,Money,Cardi B,2018-12-29,30,29,13,9,1,MoneyCardi B,https://www.billboard.com/charts/hot-100/2018-12-29
3698,End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-02-03,30,18,18,9,1,End GameTaylor Swift Featuring Ed Sheeran & Future,https://www.billboard.com/charts/hot-100/2018-02-03
3699,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-10-19,31,25,11,9,1,"Hot Girl SummerMegan Thee Stallion, Nicki Minaj & Ty Dolla $ign",https://www.billboard.com/charts/hot-100/2019-10-19
3700,Never Recover,Lil Baby & Gunna Featuring Drake,2018-11-03,49,35,15,3,1,Never RecoverLil Baby & Gunna Featuring Drake,https://www.billboard.com/charts/hot-100/2018-11-03
3701,Drip,Cardi B Featuring Migos,2018-05-05,51,33,21,3,1,DripCardi B Featuring Migos,https://www.billboard.com/charts/hot-100/2018-05-05
3702,Esskeetit,Lil Pump,2018-05-12,51,37,24,3,1,EsskeetitLil Pump,https://www.billboard.com/charts/hot-100/2018-05-12
3703,Motivation,Normani,2019-09-14,51,66,33,3,1,MotivationNormani,https://www.billboard.com/charts/hot-100/2019-09-14
3704,Good As Hell,Lizzo,2019-09-21,51,41,41,3,1,Good As HellLizzo,https://www.billboard.com/charts/hot-100/2019-09-21
3705,KOD,J. Cole,2018-05-19,52,44,10,3,1,KODJ. Cole,https://www.billboard.com/charts/hot-100/2018-05-19
3706,Girls Need Love,Summer Walker X Drake,2019-03-23,52,37,37,3,1,Girls Need LoveSummer Walker X Drake,https://www.billboard.com/charts/hot-100/2019-03-23
3707,Homicide,Logic Featuring Eminem,2019-06-01,53,21,5,3,1,HomicideLogic Featuring Eminem,https://www.billboard.com/charts/hot-100/2019-06-01
3708,Hollywood's Bleeding,Post Malone,2019-10-05,53,31,15,3,1,Hollywood's BleedingPost Malone,https://www.billboard.com/charts/hot-100/2019-10-05
3709,New Freezer,Rich The Kid Featuring Kendrick Lamar,2018-02-24,53,60,53,3,1,New FreezerRich The Kid Featuring Kendrick Lamar,https://www.billboard.com/charts/hot-100/2018-02-24
3710,Like It's Christmas,Jonas Brothers,2019-12-28,53,61,53,3,1,Like It's ChristmasJonas Brothers,https://www.billboard.com/charts/hot-100/2019-12-28
3711,I'm A Mess,Bebe Rexha,2018-08-11,53,64,53,3,1,I'm A MessBebe Rexha,https://www.billboard.com/charts/hot-100/2018-08-11
3712,Here With Me,Marshmello Featuring CHVRCHES,2019-04-06,53,79,53,3,1,Here With MeMarshmello Featuring CHVRCHES,https://www.billboard.com/charts/hot-100/2019-04-06
3713,New Patek,Lil Uzi Vert,2018-10-13,54,24,24,3,1,New PatekLil Uzi Vert,https://www.billboard.com/charts/hot-100/2018-10-13
3714,Natural,Imagine Dragons,2018-08-18,54,42,37,3,1,NaturalImagine Dragons,https://www.billboard.com/charts/hot-100/2018-08-18
3715,Done For Me,Charlie Puth Featuring Kehlani,2018-06-02,54,53,53,3,1,Done For MeCharlie Puth Featuring Kehlani,https://www.billboard.com/charts/hot-100/2018-06-02
3716,Mo Bamba,Sheck Wes,2018-09-22,54,73,54,3,1,Mo BambaSheck Wes,https://www.billboard.com/charts/hot-100/2018-09-22
3717,Into The Unknown,Idina Menzel & AURORA,2019-12-21,55,46,46,3,1,Into The UnknownIdina Menzel & AURORA,https://www.billboard.com/charts/hot-100/2019-12-21
3718,Liar,Camila Cabello,2019-10-05,55,54,54,3,1,LiarCamila Cabello,https://www.billboard.com/charts/hot-100/2019-10-05
3719,On Chill,Wale Featuring Jeremih,2019-09-07,55,57,55,3,1,On ChillWale Featuring Jeremih,https://www.billboard.com/charts/hot-100/2019-09-07
3720,Everyday,Logic & Marshmello,2018-03-31,56,29,29,3,1,EverydayLogic & Marshmello,https://www.billboard.com/charts/hot-100/2018-03-31
3721,El Farsante,Ozuna & Romeo Santos,2018-02-24,56,49,49,3,1,El FarsanteOzuna & Romeo Santos,https://www.billboard.com/charts/hot-100/2018-02-24
3722,Heart On Ice,Rod Wave,2019-12-07,56,54,54,3,1,Heart On IceRod Wave,https://www.billboard.com/charts/hot-100/2019-12-07
3723,Friends,Marshmello & Anne-Marie,2018-03-10,56,58,56,3,1,FriendsMarshmello & Anne-Marie,https://www.billboard.com/charts/hot-100/2018-03-10
3724,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2018-12-29,56,80,56,3,1,Nothing Breaks Like A HeartMark Ronson Featuring Miley Cyrus,https://www.billboard.com/charts/hot-100/2018-12-29
3725,Kevin's Heart,J. Cole,2018-05-19,57,48,8,3,1,Kevin's HeartJ. Cole,https://www.billboard.com/charts/hot-100/2018-05-19
3726,Nowadays,Lil Skies Featuring Landon Cube,2018-02-03,57,55,55,3,1,NowadaysLil Skies Featuring Landon Cube,https://www.billboard.com/charts/hot-100/2018-02-03
3727,Dura,Daddy Yankee,2018-03-03,57,61,57,3,1,DuraDaddy Yankee,https://www.billboard.com/charts/hot-100/2018-03-03
3728,Emotionless,Drake,2018-07-28,58,38,8,3,1,EmotionlessDrake,https://www.billboard.com/charts/hot-100/2018-07-28
3729,Narcos,Migos,2018-02-24,58,50,36,3,1,NarcosMigos,https://www.billboard.com/charts/hot-100/2018-02-24
3730,Gold Roses,Rick Ross Featuring Drake,2019-08-24,59,73,39,3,1,Gold RosesRick Ross Featuring Drake,https://www.billboard.com/charts/hot-100/2019-08-24
3731,La Modelo,Ozuna x Cardi B,2018-01-20,59,61,52,3,1,La ModeloOzuna x Cardi B,https://www.billboard.com/charts/hot-100/2018-01-20
3732,Needy,Ariana Grande,2019-03-09,60,48,14,3,1,NeedyAriana Grande,https://www.billboard.com/charts/hot-100/2019-03-09
3733,Hear Me Calling,Juice WRLD,2019-03-30,60,38,38,3,1,Hear Me CallingJuice WRLD,https://www.billboard.com/charts/hot-100/2019-03-30
3734,KIKA,6ix9ine Featuring Tory Lanez,2018-12-22,60,44,44,3,1,KIKA6ix9ine Featuring Tory Lanez,https://www.billboard.com/charts/hot-100/2018-12-22
3735,Graveyard,Halsey,2019-10-12,60,60,45,3,1,GraveyardHalsey,https://www.billboard.com/charts/hot-100/2019-10-12
3736,Love Ain't,Eli Young Band,2019-05-11,60,68,60,3,1,Love Ain'tEli Young Band,https://www.billboard.com/charts/hot-100/2019-05-11
3737,Earth,Lil Dicky,2019-05-18,61,41,17,3,1,EarthLil Dicky,https://www.billboard.com/charts/hot-100/2019-05-18
3738,Heat,Chris Brown Featuring Gunna,2019-09-28,61,70,61,3,1,HeatChris Brown Featuring Gunna,https://www.billboard.com/charts/hot-100/2019-09-28
3739,Life Changes,Thomas Rhett,2018-07-21,61,75,61,3,1,Life ChangesThomas Rhett,https://www.billboard.com/charts/hot-100/2018-07-21
3740,Just Us,DJ Khaled Featuring SZA,2019-06-15,62,60,43,3,1,Just UsDJ Khaled Featuring SZA,https://www.billboard.com/charts/hot-100/2019-06-15
3741,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-08-04,62,60,60,3,1,Jackie ChanTiesto & Dzeko Featuring Preme & Post Malone,https://www.billboard.com/charts/hot-100/2018-08-04
3742,On The Road,Post Malone Featuring Meek Mill & Lil Baby,2019-10-05,63,48,22,3,1,On The RoadPost Malone Featuring Meek Mill & Lil Baby,https://www.billboard.com/charts/hot-100/2019-10-05
3743,Imagine,Ariana Grande,2019-01-12,63,71,24,3,1,ImagineAriana Grande,https://www.billboard.com/charts/hot-100/2019-01-12
3744,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-02-10,63,43,43,3,1,"KEKE6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",https://www.billboard.com/charts/hot-100/2018-02-10
3745,Easier,5 Seconds Of Summer,2019-06-22,63,63,48,3,1,Easier5 Seconds Of Summer,https://www.billboard.com/charts/hot-100/2019-06-22
3746,Level Up,Ciara,2018-08-18,63,59,59,3,1,Level UpCiara,https://www.billboard.com/charts/hot-100/2018-08-18
3747,Look Back At It,A Boogie Wit da Hoodie,2019-04-13,37,35,32,17,1,Look Back At ItA Boogie Wit da Hoodie,https://www.billboard.com/charts/hot-100/2019-04-13
3748,Mercy,Brett Young,2018-09-08,38,34,29,17,1,MercyBrett Young,https://www.billboard.com/charts/hot-100/2018-09-08
3749,Lover,Taylor Swift,2019-12-21,40,32,10,17,1,LoverTaylor Swift,https://www.billboard.com/charts/hot-100/2019-12-21
3750,My Type,Saweetie,2019-11-02,40,35,21,17,1,My TypeSaweetie,https://www.billboard.com/charts/hot-100/2019-11-02
3751,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-11-24,42,31,3,17,1,FEFE6ix9ine Featuring Nicki Minaj & Murda Beatz,https://www.billboard.com/charts/hot-100/2018-11-24
3752,Marry Me,Thomas Rhett,2018-04-14,44,35,30,17,1,Marry MeThomas Rhett,https://www.billboard.com/charts/hot-100/2018-04-14
3753,Good As You,Kane Brown,2019-06-29,48,46,36,17,1,Good As YouKane Brown,https://www.billboard.com/charts/hot-100/2019-06-29
3754,Gummo,6ix9ine,2018-03-24,52,28,12,17,1,Gummo6ix9ine,https://www.billboard.com/charts/hot-100/2018-03-24
3755,Murder On My Mind,YNW Melly,2019-05-25,52,49,14,17,1,Murder On My MindYNW Melly,https://www.billboard.com/charts/hot-100/2019-05-25
3756,Miss Me More,Kelsea Ballerini,2019-06-08,52,60,52,17,1,Miss Me MoreKelsea Ballerini,https://www.billboard.com/charts/hot-100/2019-06-08
3757,Dura,Daddy Yankee,2018-06-09,53,47,43,17,1,DuraDaddy Yankee,https://www.billboard.com/charts/hot-100/2018-06-09
3758,Greatest Love Story,LANCO,2018-01-13,53,58,45,17,1,Greatest Love StoryLANCO,https://www.billboard.com/charts/hot-100/2018-01-13
3759,I Like Me Better,Lauv,2018-06-16,53,56,53,17,1,I Like Me BetterLauv,https://www.billboard.com/charts/hot-100/2018-06-16
3760,Look What God Gave Her,Thomas Rhett,2019-07-06,54,37,32,17,1,Look What God Gave HerThomas Rhett,https://www.billboard.com/charts/hot-100/2019-07-06
3761,Lemon,N*E*R*D & Rihanna,2018-03-17,56,51,40,17,1,LemonN*E*R*D & Rihanna,https://www.billboard.com/charts/hot-100/2018-03-17
3762,Make It Sweet,Old Dominion,2019-05-04,56,57,56,17,1,Make It SweetOld Dominion,https://www.billboard.com/charts/hot-100/2019-05-04
3763,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-05-19,60,66,21,17,1,"King's DeadJay Rock, Kendrick Lamar, Future & James Blake",https://www.billboard.com/charts/hot-100/2018-05-19
3764,IDGAF,Dua Lipa,2018-05-19,61,69,54,17,1,IDGAFDua Lipa,https://www.billboard.com/charts/hot-100/2018-05-19
3765,Losing Sleep,Chris Young,2018-02-03,62,61,61,17,1,Losing SleepChris Young,https://www.billboard.com/charts/hot-100/2018-02-03
3766,ME!,Taylor Swift Featuring Brendon Urie,2019-08-24,63,66,2,17,1,ME!Taylor Swift Featuring Brendon Urie,https://www.billboard.com/charts/hot-100/2019-08-24
3767,Like I Loved You,Brett Young,2018-02-03,63,52,46,17,1,Like I Loved YouBrett Young,https://www.billboard.com/charts/hot-100/2018-02-03
3768,No Stylist,French Montana Featuring Drake,2019-01-26,63,61,47,17,1,No StylistFrench Montana Featuring Drake,https://www.billboard.com/charts/hot-100/2019-01-26
3769,Girls Need Love,Summer Walker X Drake,2019-06-29,64,64,37,17,1,Girls Need LoveSummer Walker X Drake,https://www.billboard.com/charts/hot-100/2019-06-29
3770,I'll Name The Dogs,Blake Shelton,2018-01-20,66,56,56,17,1,I'll Name The DogsBlake Shelton,https://www.billboard.com/charts/hot-100/2018-01-20
3771,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-11-10,69,60,52,17,1,Jackie ChanTiesto & Dzeko Featuring Preme & Post Malone,https://www.billboard.com/charts/hot-100/2018-11-10
3772,Freaky Friday,Lil Dicky Featuring Chris Brown,2018-07-21,72,72,8,17,1,Freaky FridayLil Dicky Featuring Chris Brown,https://www.billboard.com/charts/hot-100/2018-07-21
3773,Eyes On You,Chase Rice,2019-06-22,72,65,38,17,1,Eyes On YouChase Rice,https://www.billboard.com/charts/hot-100/2019-06-22
3774,Light It Up,Luke Bryan,2018-01-06,73,72,57,17,1,Light It UpLuke Bryan,https://www.billboard.com/charts/hot-100/2018-01-06
3775,New Freezer,Rich The Kid Featuring Kendrick Lamar,2018-06-02,75,73,41,17,1,New FreezerRich The Kid Featuring Kendrick Lamar,https://www.billboard.com/charts/hot-100/2018-06-02
3776,Five More Minutes,Scotty McCreery,2018-04-14,76,72,44,17,1,Five More MinutesScotty McCreery,https://www.billboard.com/charts/hot-100/2018-04-14
3777,Ella Quiere Beber,Anuel AA & Romeo Santos,2019-03-09,76,78,61,17,1,Ella Quiere BeberAnuel AA & Romeo Santos,https://www.billboard.com/charts/hot-100/2019-03-09
3778,I Don't Know About You,Chris Lane,2019-11-09,79,54,39,17,1,I Don't Know About YouChris Lane,https://www.billboard.com/charts/hot-100/2019-11-09
3779,Most People Are Good,Luke Bryan,2018-06-02,81,75,43,17,1,Most People Are GoodLuke Bryan,https://www.billboard.com/charts/hot-100/2018-06-02
3780,Mixed Personalities,YNW Melly Featuring Kanye West,2019-05-25,82,78,42,17,1,Mixed PersonalitiesYNW Melly Featuring Kanye West,https://www.billboard.com/charts/hot-100/2019-05-25
3781,Hotel Key,Old Dominion,2018-11-03,84,79,48,17,1,Hotel KeyOld Dominion,https://www.billboard.com/charts/hot-100/2018-11-03
3782,Go Loko,"YG, Tyga & Jon Z",2019-09-07,84,63,49,17,1,"Go LokoYG, Tyga & Jon Z",https://www.billboard.com/charts/hot-100/2019-09-07
3783,Lalala,Y2K & bbno$,2019-11-02,84,80,55,17,1,LalalaY2K & bbno$,https://www.billboard.com/charts/hot-100/2019-11-02
3784,I Lived It,Blake Shelton,2018-07-07,85,63,63,17,1,I Lived ItBlake Shelton,https://www.billboard.com/charts/hot-100/2018-07-07
3785,Love Ain't,Eli Young Band,2019-08-17,87,91,50,17,1,Love Ain'tEli Young Band,https://www.billboard.com/charts/hot-100/2019-08-17
3786,F**k Love,XXXTENTACION Featuring Trippie Redd,2018-01-06,96,91,41,17,1,F**k LoveXXXTENTACION Featuring Trippie Redd,https://www.billboard.com/charts/hot-100/2018-01-06
3787,Echame La Culpa,Luis Fonsi & Demi Lovato,2018-03-31,97,99,47,17,1,Echame La CulpaLuis Fonsi & Demi Lovato,https://www.billboard.com/charts/hot-100/2018-03-31
3788,El Farsante,Ozuna & Romeo Santos,2018-06-02,100,96,49,17,1,El FarsanteOzuna & Romeo Santos,https://www.billboard.com/charts/hot-100/2018-06-02
3789,Girls Like You,Maroon 5 Featuring Cardi B,2018-10-06,1,1,1,18,1,Girls Like YouMaroon 5 Featuring Cardi B,https://www.billboard.com/charts/hot-100/2018-10-06
3790,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019-07-13,1,1,1,18,1,Old Town RoadLil Nas X Featuring Billy Ray Cyrus,https://www.billboard.com/charts/hot-100/2019-07-13
3791,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-08-18,3,2,1,18,1,"I Like ItCardi B, Bad Bunny & J Balvin",https://www.billboard.com/charts/hot-100/2018-08-18
3792,God's Plan,Drake,2018-06-02,3,3,1,18,1,God's PlanDrake,https://www.billboard.com/charts/hot-100/2018-06-02
3793,Happier,Marshmello & Bastille,2018-12-29,5,4,3,18,1,HappierMarshmello & Bastille,https://www.billboard.com/charts/hot-100/2018-12-29
3794,Lucid Dreams,Juice WRLD,2018-09-22,5,7,3,18,1,Lucid DreamsJuice WRLD,https://www.billboard.com/charts/hot-100/2018-09-22
3795,No Tears Left To Cry,Ariana Grande,2018-09-01,7,12,3,18,1,No Tears Left To CryAriana Grande,https://www.billboard.com/charts/hot-100/2018-09-01
3796,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018-01-27,7,5,4,18,1,No LimitG-Eazy Featuring A$AP Rocky & Cardi B,https://www.billboard.com/charts/hot-100/2018-01-27
3797,No Guidance,Chris Brown Featuring Drake,2019-10-19,7,5,5,18,1,No GuidanceChris Brown Featuring Drake,https://www.billboard.com/charts/hot-100/2019-10-19
3798,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-03-10,7,8,7,18,1,Meant To BeBebe Rexha & Florida Georgia Line,https://www.billboard.com/charts/hot-100/2018-03-10
3799,Drip Too Hard,Lil Baby & Gunna,2019-01-26,8,8,4,18,1,Drip Too HardLil Baby & Gunna,https://www.billboard.com/charts/hot-100/2019-01-26
3800,Gucci Gang,Lil Pump,2018-01-27,11,12,3,18,1,Gucci GangLil Pump,https://www.billboard.com/charts/hot-100/2018-01-27
3801,Nice For What,Drake,2018-08-18,12,10,1,18,1,Nice For WhatDrake,https://www.billboard.com/charts/hot-100/2018-08-18
3802,Let You Down,NF,2018-03-03,12,12,12,18,1,Let You DownNF,https://www.billboard.com/charts/hot-100/2018-03-03
3803,I Don't Care,Ed Sheeran & Justin Bieber,2019-09-21,13,8,2,18,1,I Don't CareEd Sheeran & Justin Bieber,https://www.billboard.com/charts/hot-100/2019-09-21
3804,Friends,Marshmello & Anne-Marie,2018-06-23,13,14,11,18,1,FriendsMarshmello & Anne-Marie,https://www.billboard.com/charts/hot-100/2018-06-23
3805,Going Bad,Meek Mill Featuring Drake,2019-04-13,14,12,6,18,1,Going BadMeek Mill Featuring Drake,https://www.billboard.com/charts/hot-100/2019-04-13
3806,If I Can't Have You,Shawn Mendes,2019-09-14,16,16,2,18,1,If I Can't Have YouShawn Mendes,https://www.billboard.com/charts/hot-100/2019-09-14
3807,Money,Cardi B,2019-03-02,16,19,13,18,1,MoneyCardi B,https://www.billboard.com/charts/hot-100/2019-03-02
3808,Middle Child,J. Cole,2019-06-01,17,14,4,18,1,Middle ChildJ. Cole,https://www.billboard.com/charts/hot-100/2019-06-01
3809,Mo Bamba,Sheck Wes,2019-01-05,17,16,6,18,1,Mo BambaSheck Wes,https://www.billboard.com/charts/hot-100/2019-01-05
3810,I Fall Apart,Post Malone,2018-02-10,17,19,16,18,1,I Fall ApartPost Malone,https://www.billboard.com/charts/hot-100/2018-02-10
3811,Look Alive,BlocBoy JB Featuring Drake,2018-06-23,18,19,5,18,1,Look AliveBlocBoy JB Featuring Drake,https://www.billboard.com/charts/hot-100/2018-06-23
3812,Mine,Bazzi,2018-06-02,18,17,11,18,1,MineBazzi,https://www.billboard.com/charts/hot-100/2018-06-02
3813,Natural,Imagine Dragons,2018-12-01,20,13,13,18,1,NaturalImagine Dragons,https://www.billboard.com/charts/hot-100/2018-12-01
3814,Goodbyes,Post Malone Featuring Young Thug,2019-11-16,21,24,3,18,1,GoodbyesPost Malone Featuring Young Thug,https://www.billboard.com/charts/hot-100/2019-11-16
3815,"Hey Look Ma, I Made It",Panic! At The Disco,2019-08-24,21,19,16,18,1,"Hey Look Ma, I Made ItPanic! At The Disco",https://www.billboard.com/charts/hot-100/2019-08-24
3816,Eastside,"Benny Blanco, Halsey & Khalid",2018-11-24,21,18,18,18,1,"EastsideBenny Blanco, Halsey & Khalid",https://www.billboard.com/charts/hot-100/2018-11-24
3817,How Long,Charlie Puth,2018-02-24,21,21,21,18,1,How LongCharlie Puth,https://www.billboard.com/charts/hot-100/2018-02-24
3818,Leave Me Alone,Flipp Dinero,2019-01-26,21,21,21,18,1,Leave Me AloneFlipp Dinero,https://www.billboard.com/charts/hot-100/2019-01-26
3819,I Get The Bag,Gucci Mane Featuring Migos,2018-01-06,22,19,11,18,1,I Get The BagGucci Mane Featuring Migos,https://www.billboard.com/charts/hot-100/2018-01-06
3820,In My Feelings,Drake,2018-11-10,23,23,1,18,1,In My FeelingsDrake,https://www.billboard.com/charts/hot-100/2018-11-10
3821,God Is A Woman,Ariana Grande,2018-11-24,23,20,8,18,1,God Is A WomanAriana Grande,https://www.billboard.com/charts/hot-100/2018-11-24
3822,In My Blood,Shawn Mendes,2018-07-28,23,23,11,18,1,In My BloodShawn Mendes,https://www.billboard.com/charts/hot-100/2018-07-28
3823,God's Country,Blake Shelton,2019-08-10,24,21,17,18,1,God's CountryBlake Shelton,https://www.billboard.com/charts/hot-100/2019-08-10
3824,Nonstop,Drake,2018-11-10,25,22,2,18,1,NonstopDrake,https://www.billboard.com/charts/hot-100/2018-11-10
3825,Money In The Grave,Drake Featuring Rick Ross,2019-10-26,25,21,7,18,1,Money In The GraveDrake Featuring Rick Ross,https://www.billboard.com/charts/hot-100/2019-10-26
3826,Lights Down Low,MAX Featuring gnash,2018-02-24,27,30,27,18,1,Lights Down LowMAX Featuring gnash,https://www.billboard.com/charts/hot-100/2018-02-24
3827,MIA,Bad Bunny Featuring Drake,2019-02-23,28,19,5,18,1,MIABad Bunny Featuring Drake,https://www.billboard.com/charts/hot-100/2019-02-23
3828,Hot,Young Thug Featuring Gunna,2019-12-28,31,33,11,18,1,HotYoung Thug Featuring Gunna,https://www.billboard.com/charts/hot-100/2019-12-28
3829,Finesse,Bruno Mars & Cardi B,2018-05-12,33,25,3,18,1,FinesseBruno Mars & Cardi B,https://www.billboard.com/charts/hot-100/2018-05-12
3830,Knockin' Boots,Luke Bryan,2019-09-07,34,34,32,18,1,Knockin' BootsLuke Bryan,https://www.billboard.com/charts/hot-100/2019-09-07
3831,MotorSport,"Migos, Nicki Minaj & Cardi B",2018-03-17,35,30,6,18,1,"MotorSportMigos, Nicki Minaj & Cardi B",https://www.billboard.com/charts/hot-100/2018-03-17
3832,How Do You Sleep?,Sam Smith,2019-11-30,35,31,24,18,1,How Do You Sleep?Sam Smith,https://www.billboard.com/charts/hot-100/2019-11-30
3833,Envy Me,Calboy,2019-04-27,35,34,34,18,1,Envy MeCalboy,https://www.billboard.com/charts/hot-100/2019-04-27
3834,Look Back At It,A Boogie Wit da Hoodie,2019-04-20,36,37,32,18,1,Look Back At ItA Boogie Wit da Hoodie,https://www.billboard.com/charts/hot-100/2019-04-20
3835,Love Lies,Khalid & Normani,2018-06-30,36,34,34,18,1,Love LiesKhalid & Normani,https://www.billboard.com/charts/hot-100/2018-06-30
3836,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-12-01,38,42,3,18,1,FEFE6ix9ine Featuring Nicki Minaj & Murda Beatz,https://www.billboard.com/charts/hot-100/2018-12-01
3837,Him & I,G-Eazy & Halsey,2018-04-21,44,32,14,18,1,Him & IG-Eazy & Halsey,https://www.billboard.com/charts/hot-100/2018-04-21
3838,Get Along,Kenny Chesney,2018-08-18,44,22,22,18,1,Get AlongKenny Chesney,https://www.billboard.com/charts/hot-100/2018-08-18
3839,On Chill,Wale Featuring Jeremih,2019-12-21,45,35,22,18,1,On ChillWale Featuring Jeremih,https://www.billboard.com/charts/hot-100/2019-12-21
3840,I Like Me Better,Lauv,2018-06-23,46,53,46,18,1,I Like Me BetterLauv,https://www.billboard.com/charts/hot-100/2018-06-23
3841,I'm A Mess,Bebe Rexha,2018-11-24,47,35,35,18,1,I'm A MessBebe Rexha,https://www.billboard.com/charts/hot-100/2018-11-24
3842,Miss Me More,Kelsea Ballerini,2019-06-15,47,52,47,18,1,Miss Me MoreKelsea Ballerini,https://www.billboard.com/charts/hot-100/2019-06-15
3843,Lover,Taylor Swift,2019-12-28,48,40,10,18,1,LoverTaylor Swift,https://www.billboard.com/charts/hot-100/2019-12-28
3844,Look What God Gave Her,Thomas Rhett,2019-07-13,51,54,32,18,1,Look What God Gave HerThomas Rhett,https://www.billboard.com/charts/hot-100/2019-07-13
3845,My Type,Saweetie,2019-11-09,53,40,21,18,1,My TypeSaweetie,https://www.billboard.com/charts/hot-100/2019-11-09
3846,Mercy,Brett Young,2018-09-15,55,38,29,18,1,MercyBrett Young,https://www.billboard.com/charts/hot-100/2018-09-15
3847,Marry Me,Thomas Rhett,2018-04-21,55,44,30,18,1,Marry MeThomas Rhett,https://www.billboard.com/charts/hot-100/2018-04-21
3848,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-05-26,56,60,21,18,1,"King's DeadJay Rock, Kendrick Lamar, Future & James Blake",https://www.billboard.com/charts/hot-100/2018-05-26
3849,ME!,Taylor Swift Featuring Brendon Urie,2019-08-31,58,63,2,18,1,ME!Taylor Swift Featuring Brendon Urie,https://www.billboard.com/charts/hot-100/2019-08-31
3850,Good As You,Kane Brown,2019-07-06,58,48,36,18,1,Good As YouKane Brown,https://www.billboard.com/charts/hot-100/2019-07-06
3851,IDGAF,Dua Lipa,2018-05-26,59,61,54,18,1,IDGAFDua Lipa,https://www.billboard.com/charts/hot-100/2018-05-26
3852,Losing Sleep,Chris Young,2018-02-10,60,62,60,18,1,Losing SleepChris Young,https://www.billboard.com/charts/hot-100/2018-02-10
3853,Murder On My Mind,YNW Melly,2019-06-01,61,52,14,18,1,Murder On My MindYNW Melly,https://www.billboard.com/charts/hot-100/2019-06-01
3854,Lemon,N*E*R*D & Rihanna,2018-03-24,61,56,40,18,1,LemonN*E*R*D & Rihanna,https://www.billboard.com/charts/hot-100/2018-03-24
3855,Greatest Love Story,LANCO,2018-01-20,61,53,45,18,1,Greatest Love StoryLANCO,https://www.billboard.com/charts/hot-100/2018-01-20
3856,Gummo,6ix9ine,2018-03-31,63,52,12,18,1,Gummo6ix9ine,https://www.billboard.com/charts/hot-100/2018-03-31
3857,Stir Fry,Migos,2018-04-14,17,13,8,15,1,Stir FryMigos,https://www.billboard.com/charts/hot-100/2018-04-14
3858,Pray For Me,The Weeknd & Kendrick Lamar,2018-05-26,18,22,7,15,1,Pray For MeThe Weeknd & Kendrick Lamar,https://www.billboard.com/charts/hot-100/2018-05-26
3859,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019-01-19,19,19,11,15,1,"Taki TakiDJ Snake Featuring Selena Gomez, Ozuna & Cardi B",https://www.billboard.com/charts/hot-100/2019-01-19
3860,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-06-01,20,15,2,15,1,"Break Up With Your Girlfriend, I'm BoredAriana Grande",https://www.billboard.com/charts/hot-100/2019-06-01
