song_x,performer,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri_x,track_href,analysis_url,duration_ms,time_signature,uri_y,hitTF_x,hitTF_x,chart_position_x,previous_position_x,weeks_on_chart_x,peak_x,chart_position_y,previous_position_y,weeks_on_chart_y,peak_y,chart_position,previous_position,weeks_on_chart,peak
46665,Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,0.456,0.828,1.0,-6.225,1.0,0.077,0.0244,0.0,0.21,0.313,116.719,audio_features,421eObjg0DTm2qajJl5OJm,spotify:track:421eObjg0DTm2qajJl5OJm,https://api.spotify.com/v1/tracks/421eObjg0DTm2qajJl5OJm,https://api.spotify.com/v1/audio-analysis/421eObjg0DTm2qajJl5OJm,189132.0,4.0,spotify:track:421eObjg0DTm2qajJl5OJm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46666,Into the Unknown,Disney Peaceful Piano,0.412,0.0803,1.0,-24.486,1.0,0.0591,0.989,0.938,0.0984,0.118,128.423,audio_features,15ZbeheZ4y21ruWjIlzUb1,spotify:track:15ZbeheZ4y21ruWjIlzUb1,https://api.spotify.com/v1/tracks/15ZbeheZ4y21ruWjIlzUb1,https://api.spotify.com/v1/audio-analysis/15ZbeheZ4y21ruWjIlzUb1,263078.0,3.0,spotify:track:15ZbeheZ4y21ruWjIlzUb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46667,Ends of the Earth,Lord Huron,0.555,0.584,4.0,-8.667,1.0,0.0301,0.274,0.0228,0.254,0.41,120.965,audio_features,4yyg2J2uXOjCtCyT64984C,spotify:track:4yyg2J2uXOjCtCyT64984C,https://api.spotify.com/v1/tracks/4yyg2J2uXOjCtCyT64984C,https://api.spotify.com/v1/audio-analysis/4yyg2J2uXOjCtCyT64984C,284147.0,4.0,spotify:track:4yyg2J2uXOjCtCyT64984C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46668,Into the Unknown,AURORA,0.371,0.262,7.0,-10.716,0.0,0.0343,0.931,0.000734,0.0786,0.148,150.474,audio_features,0O2szuaez7BKxS8SH7RkV4,spotify:track:0O2szuaez7BKxS8SH7RkV4,https://api.spotify.com/v1/tracks/0O2szuaez7BKxS8SH7RkV4,https://api.spotify.com/v1/audio-analysis/0O2szuaez7BKxS8SH7RkV4,199961.0,3.0,spotify:track:0O2szuaez7BKxS8SH7RkV4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46669,Mine,Bazzi,0.71,0.789,4.0,-3.874,1.0,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,audio_features,7uzmGiiJyRfuViKKK3lVmR,spotify:track:7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/tracks/7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/audio-analysis/7uzmGiiJyRfuViKKK3lVmR,131064.0,4.0,spotify:track:7uzmGiiJyRfuViKKK3lVmR,1.0,1.0,56.0,0.0,1.0,56.0,56.0,0.0,1.0,56.0,56.0,0.0,1.0,56.0
85973,You’re Mines Still (feat. Drake),Yung Bleu,0.575,0.609,5.0,-4.88,0.0,0.121,0.317,0.0,0.105,0.339,83.004,audio_features,7E2C5rBLpCKwQlhJPVFBRS,spotify:track:7E2C5rBLpCKwQlhJPVFBRS,https://api.spotify.com/v1/tracks/7E2C5rBLpCKwQlhJPVFBRS,https://api.spotify.com/v1/audio-analysis/7E2C5rBLpCKwQlhJPVFBRS,226220.0,4.0,spotify:track:7E2C5rBLpCKwQlhJPVFBRS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85974,Mine,Taylor Swift,0.624,0.757,7.0,-2.94,1.0,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,audio_features,0dBW6ZsW8skfvoRfgeerBF,spotify:track:0dBW6ZsW8skfvoRfgeerBF,https://api.spotify.com/v1/tracks/0dBW6ZsW8skfvoRfgeerBF,https://api.spotify.com/v1/audio-analysis/0dBW6ZsW8skfvoRfgeerBF,230707.0,4.0,spotify:track:0dBW6ZsW8skfvoRfgeerBF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85975,Sweet Child O' Mine,Guns N' Roses,0.446,0.952,6.0,-5.321,1.0,0.0523,0.0901,0.0857,0.112,0.624,125.303,audio_features,7snQQk1zcKl8gZ92AnueZW,spotify:track:7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW,356067.0,4.0,spotify:track:7snQQk1zcKl8gZ92AnueZW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85976,Minefields,Faouzia,0.476,0.686,1.0,-5.019,0.0,0.11,0.183,0.0,0.0997,0.243,152.617,audio_features,1OU4E4HiVjdak0mL4blVWT,spotify:track:1OU4E4HiVjdak0mL4blVWT,https://api.spotify.com/v1/tracks/1OU4E4HiVjdak0mL4blVWT,https://api.spotify.com/v1/audio-analysis/1OU4E4HiVjdak0mL4blVWT,190606.0,4.0,spotify:track:1OU4E4HiVjdak0mL4blVWT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85977,Indica Badu,Logic,0.742,0.72,0.0,-2.876,1.0,0.116,0.0402,0.000846,0.0839,0.97,77.011,audio_features,0jqBo5RYn008f4ZY8kPewW,spotify:track:0jqBo5RYn008f4ZY8kPewW,https://api.spotify.com/v1/tracks/0jqBo5RYn008f4ZY8kPewW,https://api.spotify.com/v1/audio-analysis/0jqBo5RYn008f4ZY8kPewW,260320.0,4.0,spotify:track:0jqBo5RYn008f4ZY8kPewW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85978,Final Fantasy,Drake,0.5,0.449,0.0,-10.977,1.0,0.442,0.422,7.96e-06,0.115,0.104,144.206,audio_features,44Du2IM1bGY7dicmLfXbUs,spotify:track:44Du2IM1bGY7dicmLfXbUs,https://api.spotify.com/v1/tracks/44Du2IM1bGY7dicmLfXbUs,https://api.spotify.com/v1/audio-analysis/44Du2IM1bGY7dicmLfXbUs,219960.0,1.0,spotify:track:44Du2IM1bGY7dicmLfXbUs,1.0,1.0,56.0,0.0,1.0,56.0,56.0,0.0,1.0,56.0,56.0,0.0,1.0,56.0
85979,FINAL FANTASY XIII - The Promise,Masashi Hamauzu,0.314,0.138,9.0,-15.495,0.0,0.0333,0.89,0.929,0.0885,0.156,63.759,audio_features,1W7TopfQm86rJLBWs8S6Gf,spotify:track:1W7TopfQm86rJLBWs8S6Gf,https://api.spotify.com/v1/tracks/1W7TopfQm86rJLBWs8S6Gf,https://api.spotify.com/v1/audio-analysis/1W7TopfQm86rJLBWs8S6Gf,92760.0,4.0,spotify:track:1W7TopfQm86rJLBWs8S6Gf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85980,Stand By Me,Florence + The Machine,0.613,0.335,9.0,-6.791,1.0,0.0281,0.841,0.000161,0.194,0.245,108.014,audio_features,5XSU59wtE5CRCAEyHmmGy4,spotify:track:5XSU59wtE5CRCAEyHmmGy4,https://api.spotify.com/v1/tracks/5XSU59wtE5CRCAEyHmmGy4,https://api.spotify.com/v1/audio-analysis/5XSU59wtE5CRCAEyHmmGy4,245780.0,4.0,spotify:track:5XSU59wtE5CRCAEyHmmGy4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85981,Final Fantasy - Original Mix,AC Slater,0.893,0.647,11.0,-5.929,0.0,0.0575,0.0234,0.000164,0.0996,0.293,127.951,audio_features,53E9F6JQX1Z7vFLHq2yLV1,spotify:track:53E9F6JQX1Z7vFLHq2yLV1,https://api.spotify.com/v1/tracks/53E9F6JQX1Z7vFLHq2yLV1,https://api.spotify.com/v1/audio-analysis/53E9F6JQX1Z7vFLHq2yLV1,175000.0,4.0,spotify:track:53E9F6JQX1Z7vFLHq2yLV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85982,One​-​Winged Angel (Final Fantasy VII),Nobuo Uematsu,0.497,0.525,2.0,-8.241,0.0,0.0405,0.869,0.0386,0.297,0.249,122.643,audio_features,7GBP9vqKB9o9wcQrkblICD,spotify:track:7GBP9vqKB9o9wcQrkblICD,https://api.spotify.com/v1/tracks/7GBP9vqKB9o9wcQrkblICD,https://api.spotify.com/v1/audio-analysis/7GBP9vqKB9o9wcQrkblICD,265573.0,4.0,spotify:track:7GBP9vqKB9o9wcQrkblICD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85983,Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,audio_features,0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,173800.0,4.0,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85984,Eastside,Dylan Scott,0.541,0.734,5.0,-5.235,1.0,0.0457,0.0122,1.15e-06,0.0696,0.69,83.938,audio_features,3sfJXqWV7sr2aQiSaahbZc,spotify:track:3sfJXqWV7sr2aQiSaahbZc,https://api.spotify.com/v1/tracks/3sfJXqWV7sr2aQiSaahbZc,https://api.spotify.com/v1/audio-analysis/3sfJXqWV7sr2aQiSaahbZc,167143.0,4.0,spotify:track:3sfJXqWV7sr2aQiSaahbZc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
